,census_tract,cluster_label
0,35001000107,most
1,35001000108,most
2,35001000109,mild
3,35001000110,mild
4,35001000111,mild
5,35001000112,mild
6,35001000113,mild
7,35001000114,most
8,35001000115,mild
9,35001000116,mild
10,35001000117,less
11,35001000118,mild
12,35001000119,mild
13,35001000120,most
14,35001000121,mild
15,35001000122,mild
16,35001000123,most
17,35001000124,mild
18,35001000125,less
19,35001000126,mild
20,35001000127,mild
21,35001000128,mild
22,35001000129,mild
23,35001000203,mild
24,35001000204,less
25,35001000205,mild
26,35001000206,mild
27,35001000207,mild
28,35001000208,mild
29,35001000300,most
30,35001000401,most
31,35001000402,mild
32,35001000501,less
33,35001000503,mild
34,35001000504,most
35,35001000601,mild
36,35001000603,mild
37,35001000605,less
38,35001000704,most
39,35001000711,mild
40,35001000712,mild
41,35001000713,most
42,35001000714,less
43,35001000715,less
44,35001000716,less
45,35001000717,less
46,35001000718,less
47,35001000719,most
48,35001000720,less
49,35001000904,mild
50,35001000905,most
51,35001000906,less
52,35001000907,less
53,35001000908,less
54,35001001101,mild
55,35001001102,less
56,35001001201,less
57,35001001202,mild
58,35001001300,mild
59,35001001400,most
60,35001001500,most
61,35001001701,most
62,35001001702,less
63,35001001800,most
64,35001002000,less
65,35001002100,mild
66,35001002200,most
67,35001002301,most
68,35001002302,less
69,35001002303,most
70,35001002401,most
71,35001002403,most
72,35001002404,less
73,35001002700,less
74,35001002900,most
75,35001003001,mild
76,35001003002,most
77,35001003100,less
78,35001003201,most
79,35001003202,most
80,35001003400,mild
81,35001003501,most
82,35001003502,less
83,35001003600,less
84,35001003707,mild
85,35001003712,mild
86,35001003715,less
87,35001003717,most
88,35001003718,mild
89,35001003719,mild
90,35001003722,mild
91,35001003723,mild
92,35001003724,mild
93,35001003725,mild
94,35001003726,less
95,35001003728,mild
96,35001003729,less
97,35001003730,most
98,35001003731,less
99,35001003733,mild
100,35001003736,most
101,35001003737,less
102,35001003738,mild
103,35001003739,mild
104,35001003740,less
105,35001003741,less
106,35001003742,less
107,35001003743,less
108,35001003744,less
109,35001003745,most
110,35001003746,mild
111,35001003803,most
112,35001003804,mild
113,35001003805,most
114,35001003806,less
115,35001003807,most
116,35001004001,most
117,35001004300,most
118,35001004401,most
119,35001004402,mild
120,35001004501,less
121,35001004502,most
122,35001004602,less
123,35001004603,less
124,35001004604,most
125,35001004712,less
126,35001004713,less
127,35001004715,most
128,35001004716,less
129,35001004720,most
130,35001004722,mild
131,35001004723,mild
132,35001004724,most
133,35001004725,mild
134,35001004726,mild
135,35001004727,mild
136,35001004728,most
137,35001004729,mild
138,35001004733,less
139,35001004734,most
140,35001004735,most
141,35001004736,mild
142,35001004737,less
143,35001004738,mild
144,35001004739,less
145,35001004742,mild
146,35001004743,mild
147,35001004744,mild
148,35001004745,mild
149,35001004747,most
150,35001004749,mild
151,35001004750,less
152,35001004752,mild
153,35001004753,mild
154,35001004754,less
155,35001004755,mild
156,35001004756,less
157,35001004757,less
158,35001004758,mild
159,35001004759,less
160,35001004760,mild
161,35001004761,less
162,35001004762,mild
163,35001004763,mild
164,35001004764,mild
165,35001004800,most
166,35001004900,most
167,35001940500,less
168,35001940601,mild
169,35001940602,most
170,35001940700,most
171,35001980000,less
