,census_tract,cluster_label
0,25025000101,mild
1,25025000102,mild
2,25025000201,less
3,25025000202,less
4,25025000301,less
5,25025000302,mild
6,25025000401,mild
7,25025000402,less
8,25025000502,mild
9,25025000503,mild
10,25025000505,mild
11,25025000506,mild
12,25025000601,mild
13,25025000603,mild
14,25025000604,mild
15,25025000701,mild
16,25025000703,mild
17,25025000704,most
18,25025000804,mild
19,25025000805,most
20,25025000806,mild
21,25025010103,mild
22,25025010104,mild
23,25025010204,mild
24,25025010205,mild
25,25025010206,most
26,25025010300,mild
27,25025010403,most
28,25025010404,most
29,25025010405,mild
30,25025010408,mild
31,25025010500,mild
32,25025010600,mild
33,25025010701,mild
34,25025010702,mild
35,25025010801,mild
36,25025010802,mild
37,25025020101,mild
38,25025020200,mild
39,25025020301,mild
40,25025020302,mild
41,25025020304,mild
42,25025020305,mild
43,25025030100,mild
44,25025030200,mild
45,25025030301,mild
46,25025030302,mild
47,25025030400,mild
48,25025030500,mild
49,25025040100,less
50,25025040200,less
51,25025040300,less
52,25025040401,less
53,25025040600,less
54,25025040801,mild
55,25025050101,mild
56,25025050200,mild
57,25025050300,mild
58,25025050400,mild
59,25025050500,mild
60,25025050600,mild
61,25025050700,mild
62,25025050901,mild
63,25025051000,mild
64,25025051101,mild
65,25025051200,mild
66,25025060101,mild
67,25025060200,mild
68,25025060301,less
69,25025060400,less
70,25025060501,less
71,25025060601,mild
72,25025060602,most
73,25025060603,mild
74,25025060604,mild
75,25025060700,less
76,25025060800,mild
77,25025061000,most
78,25025061101,most
79,25025061201,less
80,25025061203,mild
81,25025061204,mild
82,25025070102,mild
83,25025070103,mild
84,25025070104,mild
85,25025070201,mild
86,25025070202,mild
87,25025070301,mild
88,25025070302,mild
89,25025070402,most
90,25025070501,mild
91,25025070502,less
92,25025070600,mild
93,25025070700,mild
94,25025070801,mild
95,25025070802,less
96,25025070901,mild
97,25025070902,less
98,25025071101,most
99,25025071201,mild
100,25025080100,most
101,25025080300,most
102,25025080401,most
103,25025080500,most
104,25025080601,most
105,25025080801,most
106,25025080900,most
107,25025081001,most
108,25025081101,mild
109,25025081102,mild
110,25025081200,mild
111,25025081301,mild
112,25025081302,less
113,25025081400,most
114,25025081500,most
115,25025081700,most
116,25025081800,most
117,25025081900,most
118,25025082000,less
119,25025082100,most
120,25025090100,most
121,25025090200,most
122,25025090300,most
123,25025090400,most
124,25025090600,most
125,25025090700,less
126,25025090901,most
127,25025091001,less
128,25025091100,less
129,25025091200,less
130,25025091300,mild
131,25025091400,most
132,25025091500,most
133,25025091600,most
134,25025091700,mild
135,25025091800,most
136,25025091900,most
137,25025092000,most
138,25025092101,less
139,25025092200,less
140,25025092300,most
141,25025092400,most
142,25025100100,most
143,25025100200,most
144,25025100300,most
145,25025100400,mild
146,25025100500,most
147,25025100601,mild
148,25025100603,less
149,25025100700,less
150,25025100800,less
151,25025100900,less
152,25025101001,most
153,25025101002,most
154,25025101101,most
155,25025101102,most
156,25025110104,most
157,25025110105,mild
158,25025110106,less
159,25025110201,most
160,25025110301,mild
161,25025110401,mild
162,25025110403,less
163,25025110501,less
164,25025110502,less
165,25025110601,less
166,25025110607,less
167,25025120103,less
168,25025120104,less
169,25025120105,less
170,25025120201,less
171,25025120301,less
172,25025120400,less
173,25025120500,mild
174,25025120600,less
175,25025120700,mild
176,25025130101,less
177,25025130200,less
178,25025130300,less
179,25025130402,less
180,25025130404,less
181,25025130406,most
182,25025140102,less
183,25025140105,less
184,25025140106,most
185,25025140107,less
186,25025140201,mild
187,25025140202,mild
188,25025140300,less
189,25025140400,most
190,25025160102,mild
191,25025160103,mild
192,25025160200,mild
193,25025160300,most
194,25025160400,mild
195,25025160501,most
196,25025160502,most
197,25025160601,mild
198,25025160602,mild
199,25025170101,mild
200,25025170102,mild
201,25025170200,less
202,25025170301,mild
203,25025170302,mild
204,25025170400,less
205,25025170502,less
206,25025170503,mild
207,25025170504,mild
208,25025170601,mild
209,25025170701,most
210,25025170702,most
211,25025170800,mild
212,25025180101,less
213,25025180200,less
214,25025180301,less
215,25025180400,less
216,25025180500,less
217,25025981100,mild
218,25025981300,mild
219,25025981800,mild
