,census_tract,cluster_label
0,09001010101,less
1,09001010102,less
2,09001010201,less
3,09001010202,mild
4,09001010300,less
5,09001010400,mild
6,09001010500,mild
7,09001010600,mild
8,09001010700,mild
9,09001010800,mild
10,09001010900,mild
11,09001011000,less
12,09001011100,less
13,09001011200,less
14,09001011300,mild
15,09001020101,mild
16,09001020102,mild
17,09001020200,mild
18,09001020301,mild
19,09001020302,mild
20,09001020400,mild
21,09001020500,mild
22,09001020600,mild
23,09001020700,mild
24,09001020800,mild
25,09001020900,mild
26,09001021000,mild
27,09001021100,mild
28,09001021200,mild
29,09001021300,mild
30,09001021401,mild
31,09001021402,mild
32,09001021501,mild
33,09001021502,mild
34,09001021601,mild
35,09001021602,mild
36,09001021701,mild
37,09001021702,most
38,09001021801,mild
39,09001021802,mild
40,09001021900,mild
41,09001022000,mild
42,09001022101,mild
43,09001022102,mild
44,09001022201,mild
45,09001022202,mild
46,09001022300,mild
47,09001022400,mild
48,09001030100,less
49,09001030200,less
50,09001030300,less
51,09001030400,mild
52,09001030500,mild
53,09001035101,mild
54,09001035102,mild
55,09001035200,less
56,09001035300,mild
57,09001035400,less
58,09001042500,mild
59,09001042600,mild
60,09001042700,mild
61,09001042800,mild
62,09001042900,mild
63,09001043000,mild
64,09001043100,mild
65,09001043200,mild
66,09001043300,mild
67,09001043400,mild
68,09001043500,mild
69,09001043600,mild
70,09001043700,most
71,09001043800,mild
72,09001043900,mild
73,09001044000,mild
74,09001044100,mild
75,09001044200,mild
76,09001044300,mild
77,09001044400,mild
78,09001044500,mild
79,09001044600,mild
80,09001045101,mild
81,09001045102,mild
82,09001045200,mild
83,09001045300,mild
84,09001045400,mild
85,09001050100,mild
86,09001050200,mild
87,09001050301,mild
88,09001050302,mild
89,09001050400,mild
90,09001050500,mild
91,09001050600,mild
92,09001055100,mild
93,09001055200,mild
94,09001060100,mild
95,09001060200,mild
96,09001060300,mild
97,09001060400,mild
98,09001060500,mild
99,09001060600,mild
100,09001060700,mild
101,09001060800,mild
102,09001060900,mild
103,09001061000,mild
104,09001061100,mild
105,09001061200,mild
106,09001061300,mild
107,09001061400,mild
108,09001061500,mild
109,09001061600,mild
110,09001070100,mild
111,09001070200,most
112,09001070300,mild
113,09001070400,mild
114,09001070500,most
115,09001070600,most
116,09001070900,most
117,09001071000,most
118,09001071100,most
119,09001071200,most
120,09001071300,most
121,09001071400,most
122,09001071600,most
123,09001071900,mild
124,09001072000,mild
125,09001072100,mild
126,09001072200,mild
127,09001072300,mild
128,09001072400,mild
129,09001072500,mild
130,09001072600,mild
131,09001072700,mild
132,09001072800,mild
133,09001072900,mild
134,09001073000,mild
135,09001073100,mild
136,09001073200,mild
137,09001073300,most
138,09001073400,mild
139,09001073500,most
140,09001073600,most
141,09001073700,most
142,09001073800,most
143,09001073900,most
144,09001074000,most
145,09001074300,most
146,09001074400,most
147,09001080100,mild
148,09001080200,mild
149,09001080400,mild
150,09001080500,mild
151,09001080600,mild
152,09001080700,mild
153,09001080800,mild
154,09001080900,mild
155,09001081000,mild
156,09001081100,mild
157,09001081200,mild
158,09001081300,mild
159,09001090100,mild
160,09001090200,mild
161,09001090300,mild
162,09001090400,mild
163,09001090500,mild
164,09001090600,mild
165,09001090700,mild
166,09001100100,mild
167,09001100200,mild
168,09001100300,mild
169,09001105100,mild
170,09001105200,mild
171,09001110100,mild
172,09001110201,mild
173,09001110202,mild
174,09001110301,mild
175,09001110302,mild
176,09001110400,mild
177,09001110500,mild
178,09001110601,mild
179,09001110602,mild
180,09001200100,mild
181,09001200200,mild
182,09001200301,mild
183,09001200302,mild
184,09001205100,mild
185,09001205200,mild
186,09001205300,mild
187,09001210101,mild
188,09001210102,mild
189,09001210201,mild
190,09001210202,mild
191,09001210300,mild
192,09001210401,mild
193,09001210402,mild
194,09001210501,mild
195,09001210502,mild
196,09001210600,mild
197,09001210701,mild
198,09001210702,mild
199,09001210800,mild
200,09001210900,mild
201,09001211000,mild
202,09001211100,mild
203,09001211201,mild
204,09001211202,mild
205,09001211300,mild
206,09001211400,mild
207,09001220100,mild
208,09001220200,mild
209,09001220300,mild
210,09001230100,mild
211,09001230200,mild
212,09001230300,mild
213,09001230400,mild
214,09001230501,mild
215,09001230502,mild
216,09001240100,mild
217,09001240200,mild
218,09001245100,mild
219,09001245200,mild
220,09001245300,mild
221,09001245400,mild
222,09001245500,mild
223,09001245600,mild
224,09001257100,mild
225,09001257200,mild
