,census_tract,cluster_label
0,39061000200,most
1,39061000700,mild
2,39061000900,most
3,39061001000,most
4,39061001100,most
5,39061001600,most
6,39061001700,most
7,39061001800,most
8,39061001900,mild
9,39061002000,less
10,39061002200,most
11,39061002300,most
12,39061002500,most
13,39061002600,mild
14,39061002700,mild
15,39061002800,most
16,39061002901,mild
17,39061002902,mild
18,39061003000,mild
19,39061003200,mild
20,39061003300,mild
21,39061003600,most
22,39061003700,most
23,39061003800,most
24,39061003900,most
25,39061004000,most
26,39061004100,less
27,39061004200,less
28,39061004602,mild
29,39061004603,mild
30,39061004604,mild
31,39061004605,less
32,39061004703,less
33,39061004800,less
34,39061004900,less
35,39061005000,less
36,39061005100,less
37,39061005200,less
38,39061005301,mild
39,39061005302,less
40,39061005500,most
41,39061005600,mild
42,39061005701,mild
43,39061005702,mild
44,39061005800,mild
45,39061005900,mild
46,39061006000,most
47,39061006100,mild
48,39061006300,mild
49,39061006400,mild
50,39061006501,less
51,39061006502,mild
52,39061006600,most
53,39061006800,most
54,39061006900,most
55,39061007000,most
56,39061007100,less
57,39061007200,mild
58,39061007300,mild
59,39061007400,most
60,39061007500,mild
61,39061007700,most
62,39061008000,most
63,39061008100,mild
64,39061008201,mild
65,39061008202,mild
66,39061008300,mild
67,39061008400,mild
68,39061008501,most
69,39061008502,most
70,39061008601,most
71,39061008800,most
72,39061009200,most
73,39061009300,most
74,39061009400,most
75,39061009500,most
76,39061009600,most
77,39061009700,most
78,39061009800,most
79,39061009901,mild
80,39061009902,mild
81,39061010002,most
82,39061010003,most
83,39061010004,most
84,39061010005,mild
85,39061010100,most
86,39061010201,mild
87,39061010202,mild
88,39061010300,most
89,39061010400,mild
90,39061010500,mild
91,39061010600,mild
92,39061010700,mild
93,39061010900,mild
94,39061011000,mild
95,39061011100,mild
96,39061020401,mild
97,39061020403,mild
98,39061020404,mild
99,39061020501,less
100,39061020502,mild
101,39061020504,mild
102,39061020505,mild
103,39061020601,mild
104,39061020603,less
105,39061020604,mild
106,39061020701,mild
107,39061020705,mild
108,39061020707,less
109,39061020741,mild
110,39061020742,mild
111,39061020762,mild
112,39061020763,mild
113,39061020764,mild
114,39061020802,mild
115,39061020811,mild
116,39061020812,mild
117,39061020901,mild
118,39061020902,mild
119,39061021001,mild
120,39061021002,mild
121,39061021003,mild
122,39061021101,mild
123,39061021102,mild
124,39061021201,mild
125,39061021202,mild
126,39061021302,less
127,39061021303,mild
128,39061021304,less
129,39061021401,mild
130,39061021421,mild
131,39061021422,mild
132,39061021501,mild
133,39061021504,mild
134,39061021505,mild
135,39061021506,mild
136,39061021508,mild
137,39061021509,mild
138,39061021571,mild
139,39061021572,mild
140,39061021602,mild
141,39061021603,mild
142,39061021604,mild
143,39061021701,most
144,39061021702,mild
145,39061021801,mild
146,39061021802,most
147,39061021900,mild
148,39061022000,mild
149,39061022101,mild
150,39061022102,mild
151,39061022200,mild
152,39061022301,mild
153,39061022302,mild
154,39061022400,less
155,39061022500,mild
156,39061022601,less
157,39061022602,mild
158,39061022700,most
159,39061023001,mild
160,39061023002,mild
161,39061023100,less
162,39061023201,mild
163,39061023210,mild
164,39061023222,mild
165,39061023300,mild
166,39061023400,mild
167,39061023501,less
168,39061023521,less
169,39061023522,mild
170,39061023600,mild
171,39061023701,mild
172,39061023702,mild
173,39061023800,mild
174,39061023901,less
175,39061023902,less
176,39061024001,most
177,39061024002,mild
178,39061024100,less
179,39061024200,less
180,39061024301,less
181,39061024303,mild
182,39061024322,less
183,39061024323,mild
184,39061024324,mild
185,39061024401,less
186,39061024402,less
187,39061024700,mild
188,39061024800,less
189,39061024901,mild
190,39061024903,mild
191,39061024904,less
192,39061025001,less
193,39061025002,mild
194,39061025101,mild
195,39061025102,mild
196,39061025103,mild
197,39061025200,mild
198,39061025300,most
199,39061025401,mild
200,39061025402,mild
201,39061025500,most
202,39061025600,mild
203,39061025700,most
204,39061025800,mild
205,39061026001,mild
206,39061026002,mild
207,39061026102,mild
208,39061026103,mild
209,39061026104,mild
210,39061026200,most
211,39061026300,most
212,39061026400,mild
213,39061026500,mild
214,39061026600,most
215,39061026700,most
216,39061026800,less
217,39061026900,most
218,39061027000,most
219,39061027100,mild
220,39061027200,most
221,39061027300,less
222,39061027400,most
223,39061027500,less
224,39061027600,mild
225,39061027700,most
