,census_tract,cluster_label
0,39035101101,mild
1,39035101102,less
2,39035101201,most
3,39035101300,most
4,39035101400,most
5,39035101501,mild
6,39035101603,mild
7,39035101700,most
8,39035101800,most
9,39035101901,most
10,39035102101,mild
11,39035102102,mild
12,39035102200,mild
13,39035102300,most
14,39035102401,most
15,39035102402,most
16,39035102700,most
17,39035102800,most
18,39035102900,mild
19,39035103300,mild
20,39035103500,less
21,39035103602,less
22,39035103800,most
23,39035104400,less
24,39035104800,mild
25,39035105100,mild
26,39035105300,most
27,39035105400,most
28,39035105500,mild
29,39035105602,most
30,39035105700,less
31,39035105900,mild
32,39035106100,mild
33,39035106200,mild
34,39035106500,mild
35,39035106600,mild
36,39035106800,mild
37,39035106900,less
38,39035107000,mild
39,39035107101,less
40,39035107701,mild
41,39035107802,most
42,39035108201,most
43,39035108301,most
44,39035108400,mild
45,39035108701,mild
46,39035109301,mild
47,39035109701,mild
48,39035109801,mild
49,39035110901,most
50,39035111202,most
51,39035111401,most
52,39035111700,most
53,39035112100,most
54,39035112200,most
55,39035112301,mild
56,39035114501,most
57,39035114600,most
58,39035114800,most
59,39035115400,most
60,39035115700,most
61,39035115800,most
62,39035115900,most
63,39035116300,most
64,39035116400,most
65,39035116500,most
66,39035116600,most
67,39035116700,most
68,39035116800,most
69,39035116900,most
70,39035117101,most
71,39035117102,most
72,39035117201,less
73,39035117203,most
74,39035117300,most
75,39035117400,most
76,39035117500,most
77,39035117600,most
78,39035117700,most
79,39035117800,most
80,39035117900,most
81,39035118101,most
82,39035118200,most
83,39035118301,most
84,39035118602,most
85,39035118800,mild
86,39035118900,most
87,39035119401,mild
88,39035119402,most
89,39035119501,most
90,39035119502,most
91,39035119600,most
92,39035119701,most
93,39035119702,most
94,39035119800,most
95,39035119900,most
96,39035120200,most
97,39035120400,most
98,39035120500,most
99,39035120600,most
100,39035120701,most
101,39035120702,most
102,39035120801,most
103,39035120802,most
104,39035121100,most
105,39035121200,most
106,39035121300,most
107,39035121401,most
108,39035121403,most
109,39035121500,most
110,39035121700,most
111,39035121800,most
112,39035121900,mild
113,39035122100,mild
114,39035122200,most
115,39035122300,most
116,39035123100,mild
117,39035123200,mild
118,39035123400,mild
119,39035123501,mild
120,39035123502,most
121,39035123601,mild
122,39035123602,mild
123,39035123603,mild
124,39035123700,mild
125,39035123800,mild
126,39035123900,mild
127,39035124100,mild
128,39035124201,mild
129,39035124202,mild
130,39035124300,mild
131,39035124500,mild
132,39035124600,most
133,39035126100,most
134,39035127501,most
135,39035130103,less
136,39035130104,less
137,39035130105,most
138,39035130106,less
139,39035131103,less
140,39035131104,less
141,39035131105,less
142,39035132100,most
143,39035132200,mild
144,39035132301,less
145,39035132302,mild
146,39035133103,most
147,39035133104,most
148,39035134100,less
149,39035134203,less
150,39035134204,less
151,39035134205,less
152,39035134206,mild
153,39035134300,most
154,39035135103,less
155,39035135104,less
156,39035135105,less
157,39035135106,less
158,39035136101,less
159,39035136103,less
160,39035136104,less
