,census_tract,cluster_label
0,39041010100,mild
1,39041010200,mild
2,39041010420,mild
3,39041010421,mild
4,39041010422,mild
5,39041010520,mild
6,39041010530,mild
7,39041011101,mild
8,39041011102,mild
9,39041011200,less
10,39041011411,less
11,39041011412,less
12,39041011421,less
13,39041011423,less
14,39041011430,less
15,39041011431,less
16,39041011432,less
17,39041011520,mild
18,39041011530,less
19,39041011540,mild
20,39041011561,mild
21,39041011562,mild
22,39041011563,less
23,39041011564,mild
24,39041011565,mild
25,39041011604,less
26,39041011710,less
27,39041011740,less
28,39041011760,less
29,39041011762,less
30,39041011763,mild
31,39041011764,mild
32,39041011765,less
33,39041011766,less
34,39041011900,less
35,39041012000,less
36,39041012100,less
37,39041012200,less
38,39041012300,mild
39,39041012400,mild
40,39045030100,most
41,39045030200,mild
42,39045030300,mild
43,39045030400,mild
44,39045030601,mild
45,39045030602,mild
46,39045030700,mild
47,39045030800,mild
48,39045030901,mild
49,39045030902,mild
50,39045031000,mild
51,39045031100,mild
52,39045031200,less
53,39045031300,mild
54,39045031401,mild
55,39045031402,mild
56,39045031500,mild
57,39045031600,mild
58,39045031700,mild
59,39045032000,mild
60,39045032100,mild
61,39045032200,most
62,39045032300,mild
63,39045032501,mild
64,39045032502,mild
65,39045032601,mild
66,39045032602,mild
67,39045032701,mild
68,39045032703,mild
69,39045032704,mild
70,39045032800,mild
71,39045032901,mild
72,39045032902,mild
73,39045033000,mild
74,39045033101,less
75,39045033102,mild
76,39049000110,mild
77,39049000120,less
78,39049000210,less
79,39049000220,less
80,39049000310,mild
81,39049000320,mild
82,39049000330,mild
83,39049000410,mild
84,39049000420,less
85,39049000500,mild
86,39049000600,mild
87,39049000710,mild
88,39049000720,most
89,39049000730,most
90,39049000810,mild
91,39049000820,mild
92,39049000910,most
93,39049000920,most
94,39049001000,mild
95,39049001110,mild
96,39049001121,most
97,39049001122,mild
98,39049001200,mild
99,39049001301,mild
100,39049001302,most
101,39049001400,mild
102,39049001500,mild
103,39049001600,mild
104,39049001700,mild
105,39049001810,mild
106,39049001820,mild
107,39049001901,mild
108,39049001902,mild
109,39049002000,less
110,39049002100,mild
111,39049002200,mild
112,39049002300,most
113,39049002510,most
114,39049002520,mild
115,39049002600,most
116,39049002710,mild
117,39049002730,most
118,39049002740,mild
119,39049002750,most
120,39049002760,mild
121,39049002770,mild
122,39049002780,less
123,39049002800,most
124,39049002900,most
125,39049003000,mild
126,39049003200,mild
127,39049003600,most
128,39049003700,most
129,39049003800,mild
130,39049004001,mild
131,39049004002,mild
132,39049004200,most
133,39049004301,mild
134,39049004302,most
135,39049004500,most
136,39049004610,mild
137,39049004620,most
138,39049004700,most
139,39049004810,mild
140,39049004820,most
