,census_tract,cluster_label
0,48113000100,less
1,48113000201,less
2,48113000202,less
3,48113000300,less
4,48113000401,mild
5,48113000405,most
6,48113000407,mild
7,48113000408,less
8,48113000409,mild
9,48113000410,less
10,48113000501,mild
11,48113000502,mild
12,48113000503,less
13,48113000605,less
14,48113000606,mild
15,48113000607,less
16,48113000608,less
17,48113000609,mild
18,48113000610,mild
19,48113000611,less
20,48113000703,mild
21,48113000704,less
22,48113000705,mild
23,48113000706,most
24,48113000801,mild
25,48113000802,mild
26,48113000901,less
27,48113000902,mild
28,48113001001,most
29,48113001002,less
30,48113001101,less
31,48113001102,less
32,48113001202,mild
33,48113001203,most
34,48113001204,less
35,48113001301,less
36,48113001302,mild
37,48113001400,mild
38,48113001502,most
39,48113001503,most
40,48113001504,mild
41,48113001601,mild
42,48113001602,mild
43,48113001703,mild
44,48113001705,mild
45,48113001801,less
46,48113001802,mild
47,48113001901,less
48,48113001902,mild
49,48113002001,mild
50,48113002002,mild
51,48113002100,most
52,48113002200,mild
53,48113002400,most
54,48113002500,most
55,48113002703,most
56,48113003102,mild
57,48113003103,mild
58,48113003700,most
59,48113004201,most
60,48113004202,less
61,48113004300,most
62,48113004400,mild
63,48113004500,mild
64,48113004600,mild
65,48113004700,mild
66,48113004800,mild
67,48113005000,most
68,48113005100,mild
69,48113005200,mild
70,48113005300,less
71,48113005400,mild
72,48113005500,mild
73,48113005600,mild
74,48113005700,less
75,48113005901,mild
76,48113005902,less
77,48113006001,mild
78,48113006002,most
79,48113006100,mild
80,48113006200,less
81,48113006301,most
82,48113006302,less
83,48113006401,less
84,48113006402,mild
85,48113006501,mild
86,48113006502,mild
87,48113006701,mild
88,48113006702,mild
89,48113006800,less
90,48113006900,mild
91,48113007101,less
92,48113007102,mild
93,48113007203,mild
94,48113007204,mild
95,48113007205,mild
96,48113007206,mild
97,48113007301,most
98,48113007302,less
99,48113007601,less
100,48113007604,most
101,48113007605,mild
102,48113007701,mild
103,48113007702,less
104,48113007801,less
105,48113007805,less
106,48113007809,less
107,48113007810,less
108,48113007812,less
109,48113007815,mild
110,48113007819,most
111,48113007821,mild
112,48113007822,most
113,48113007823,mild
114,48113007824,less
115,48113007825,less
116,48113007826,mild
117,48113007827,most
118,48113007828,mild
119,48113007829,less
120,48113007830,mild
121,48113007831,mild
122,48113007832,mild
123,48113007833,mild
124,48113007834,mild
125,48113007835,mild
126,48113007902,less
127,48113007903,less
128,48113007906,most
