,census_tract,cluster_label
0,48439100101,less
1,48439100102,most
2,48439100201,mild
3,48439100202,most
4,48439100300,most
5,48439100401,mild
6,48439100402,most
7,48439100503,most
8,48439100504,most
9,48439100505,most
10,48439100506,most
11,48439100601,less
12,48439100602,less
13,48439100700,most
14,48439100800,most
15,48439100900,most
16,48439101201,most
17,48439101202,most
18,48439101301,less
19,48439101302,most
20,48439101401,less
21,48439101402,most
22,48439101403,mild
23,48439101500,most
24,48439101700,most
25,48439102000,less
26,48439102101,most
27,48439102102,less
28,48439102201,less
29,48439102202,less
30,48439102301,most
31,48439102302,most
32,48439102401,most
33,48439102402,less
34,48439102500,most
35,48439102601,most
36,48439102602,less
37,48439102700,less
38,48439103500,most
39,48439103601,most
40,48439103602,most
41,48439103701,most
42,48439103702,most
43,48439103800,most
44,48439104100,less
45,48439104202,less
46,48439104203,most
47,48439104204,less
48,48439104301,mild
49,48439104302,less
50,48439104400,most
51,48439104502,most
52,48439104503,most
53,48439104504,most
54,48439104505,most
55,48439104601,most
56,48439104602,most
57,48439104603,most
58,48439104604,most
59,48439104605,most
60,48439104701,mild
61,48439104702,most
62,48439104802,most
63,48439104803,most
64,48439104804,most
65,48439104900,less
66,48439105007,less
67,48439105008,most
68,48439105009,most
69,48439105201,mild
70,48439105203,less
71,48439105204,mild
72,48439105206,most
73,48439105207,most
74,48439105403,less
75,48439105404,less
76,48439105405,mild
77,48439105407,most
78,48439105408,less
79,48439105502,most
80,48439105503,mild
81,48439105505,less
82,48439105511,most
83,48439105512,less
84,48439105513,most
85,48439105514,mild
86,48439105515,mild
87,48439105516,mild
88,48439105517,less
89,48439105518,less
90,48439105519,less
91,48439105520,mild
92,48439105600,most
93,48439105701,most
94,48439105703,less
95,48439105705,most
96,48439105706,mild
97,48439105800,mild
98,48439105901,most
99,48439105902,most
100,48439106002,most
101,48439106004,most
102,48439106005,most
103,48439106006,mild
104,48439106101,most
105,48439106102,mild
106,48439106201,most
107,48439106202,most
108,48439106300,most
109,48439106400,most
110,48439106502,less
111,48439106503,less
112,48439106507,less
113,48439106509,less
114,48439106512,mild
115,48439106513,most
116,48439106514,mild
117,48439106515,mild
118,48439106518,mild
119,48439106519,most
120,48439106520,most
121,48439106521,mild
122,48439106522,mild
123,48439106523,most
124,48439106524,mild
125,48439106525,less
126,48439106526,less
127,48439106600,mild
128,48439106700,less
129,48439110102,most
130,48439110103,most
131,48439110104,most
132,48439110202,most
133,48439110204,most
134,48439110205,less
135,48439110206,mild
136,48439110301,most
137,48439110302,most
138,48439110401,less
139,48439110402,most
140,48439110500,most
141,48439110600,less
142,48439110703,most
143,48439110704,less
144,48439110705,less
145,48439110706,most
146,48439110805,less
147,48439110806,less
148,48439110807,mild
149,48439110808,most
150,48439110809,less
151,48439110901,less
152,48439110903,less
153,48439110905,less
154,48439110906,less
155,48439110907,less
156,48439111003,most
157,48439111010,most
158,48439111015,less
159,48439111018,most
160,48439111019,most
161,48439111020,mild
162,48439111021,most
163,48439111022,most
164,48439111023,mild
165,48439111024,most
166,48439111025,most
167,48439111026,most
168,48439111027,less
169,48439111028,mild
