,census_tract,cluster_label
0,12001000201,mild
1,12001000202,less
2,12001000301,most
3,12001000302,most
4,12001000400,less
5,12001000500,mild
6,12001000600,most
7,12001000700,mild
8,12001000806,most
9,12001000808,most
10,12001000809,most
11,12001000901,most
12,12001000902,less
13,12001001000,less
14,12001001100,less
15,12001001201,less
16,12001001202,less
17,12001001203,less
18,12001001400,mild
19,12001001514,most
20,12001001515,most
21,12001001516,most
22,12001001517,most
23,12001001519,most
24,12001001522,most
25,12001001605,most
26,12001001701,mild
27,12001001702,less
28,12001001802,mild
29,12001001803,mild
30,12001001811,less
31,12001001813,less
32,12001001815,most
33,12001001816,mild
34,12001001817,less
35,12001001818,mild
36,12001001819,less
37,12001001902,less
38,12001001907,less
39,12001001908,less
40,12001002001,less
41,12001002002,mild
42,12001002101,less
43,12001002102,mild
44,12001002201,mild
45,12001002202,most
46,12001002204,less
47,12001002207,less
48,12001002208,less
49,12001002209,less
50,12001002210,mild
51,12001002217,most
52,12001002218,most
53,12001002219,most
54,12001002220,mild
55,12001002221,less
56,12001002222,less
57,12001110800,mild
