,census_tract,cluster_label
0,45045000100,less
1,45045000200,less
2,45045000400,less
3,45045000500,mild
4,45045000700,mild
5,45045000800,mild
6,45045000900,mild
7,45045001000,less
8,45045001101,less
9,45045001102,less
10,45045001203,less
11,45045001204,most
12,45045001205,most
13,45045001302,less
14,45045001400,mild
15,45045001501,less
16,45045001502,mild
17,45045001600,mild
18,45045001700,mild
19,45045001803,most
20,45045001804,less
21,45045001805,less
22,45045001807,less
23,45045001808,most
24,45045001809,most
25,45045001810,most
26,45045001900,less
27,45045002001,most
28,45045002003,mild
29,45045002005,most
30,45045002103,mild
31,45045002104,mild
32,45045002105,most
33,45045002106,most
34,45045002107,most
35,45045002108,most
36,45045002202,most
37,45045002203,mild
38,45045002204,mild
39,45045002301,most
40,45045002302,mild
41,45045002303,mild
42,45045002304,mild
43,45045002403,mild
44,45045002404,less
45,45045002405,less
46,45045002406,mild
47,45045002503,mild
48,45045002504,most
49,45045002505,most
50,45045002506,less
51,45045002507,mild
52,45045002602,mild
53,45045002604,mild
54,45045002606,mild
55,45045002609,less
56,45045002610,most
57,45045002611,mild
58,45045002612,less
59,45045002613,less
60,45045002701,less
61,45045002703,less
62,45045002704,less
63,45045002804,less
64,45045002805,mild
65,45045002811,less
66,45045002812,mild
67,45045002813,less
68,45045002814,less
69,45045002815,mild
70,45045002817,less
71,45045002818,mild
72,45045002819,less
73,45045002820,less
74,45045002821,mild
75,45045002822,less
76,45045002901,most
77,45045002903,most
78,45045002904,less
79,45045002905,mild
80,45045003005,most
81,45045003008,less
82,45045003009,less
83,45045003010,mild
84,45045003011,mild
85,45045003012,less
86,45045003013,less
87,45045003014,less
88,45045003016,less
89,45045003017,mild
90,45045003101,mild
91,45045003103,less
92,45045003104,mild
93,45045003202,mild
94,45045003203,less
95,45045003204,mild
96,45045003301,mild
97,45045003303,mild
98,45045003304,mild
99,45045003401,most
100,45045003500,most
101,45045003601,most
102,45045003602,mild
103,45045003701,mild
104,45045003704,mild
105,45045003705,mild
106,45045003706,most
107,45045003707,most
108,45045003802,most
109,45045003803,mild
110,45045003804,less
111,45045003902,less
112,45045003903,mild
113,45045003905,less
114,45045003906,mild
115,45045004001,mild
116,45045004003,mild
117,45045004004,less
118,45045004101,mild
119,45045004102,mild
120,45045004200,less
121,45045004300,mild
122,45045004400,less
