,census_tract,cluster_label
0,09003330100,less
1,09003400101,mild
2,09003400102,mild
3,09003400200,less
4,09003400300,mild
5,09003405100,mild
6,09003405200,mild
7,09003405300,mild
8,09003405401,mild
9,09003405402,most
10,09003405500,mild
11,09003405600,mild
12,09003405700,mild
13,09003405801,mild
14,09003405802,less
15,09003405900,mild
16,09003406001,mild
17,09003406002,mild
18,09003406100,most
19,09003410101,less
20,09003410102,mild
21,09003415300,most
22,09003415400,mild
23,09003415500,most
24,09003415600,mild
25,09003415700,most
26,09003415800,most
27,09003415900,most
28,09003416000,mild
29,09003416100,most
30,09003416200,most
31,09003416300,most
32,09003416400,mild
33,09003416500,mild
34,09003416600,most
35,09003416700,mild
36,09003416800,mild
37,09003417100,most
38,09003417200,most
39,09003417300,mild
40,09003417400,mild
41,09003417500,mild
42,09003420400,less
43,09003420500,mild
44,09003420601,mild
45,09003420602,mild
46,09003420700,mild
47,09003430100,mild
48,09003430201,mild
49,09003430202,mild
50,09003430203,mild
51,09003430301,mild
52,09003430302,mild
53,09003430400,less
54,09003430501,mild
55,09003430502,less
56,09003430602,mild
57,09003430603,mild
58,09003430604,less
59,09003460100,mild
60,09003460202,less
61,09003460203,mild
62,09003460204,mild
63,09003460301,less
64,09003460302,less
65,09003462101,less
66,09003462102,less
67,09003462201,mild
68,09003462202,less
69,09003464101,less
70,09003464102,less
71,09003466101,less
72,09003466102,less
73,09003466201,mild
74,09003466202,less
75,09003466300,less
76,09003466400,mild
77,09003468101,less
78,09003468102,mild
79,09003470100,mild
80,09003471100,mild
81,09003471200,mild
82,09003471300,mild
83,09003471400,less
84,09003471500,mild
85,09003473100,mild
86,09003473400,mild
87,09003473501,mild
88,09003473502,mild
89,09003473601,mild
90,09003473602,mild
91,09003473700,mild
92,09003473800,mild
93,09003476100,mild
94,09003476200,mild
95,09003476300,mild
96,09003477101,less
97,09003477103,less
98,09003477104,mild
99,09003477200,mild
100,09003480300,mild
101,09003480400,mild
102,09003480500,mild
103,09003480600,mild
104,09003480700,mild
105,09003480800,mild
106,09003480900,mild
107,09003481000,mild
108,09003481100,mild
109,09003481200,mild
110,09003481300,mild
111,09003484100,mild
112,09003484200,mild
113,09003487100,mild
114,09003487201,mild
115,09003487202,less
116,09003487300,mild
117,09003487400,mild
118,09003487500,mild
119,09003490100,mild
120,09003490303,mild
121,09003490304,less
122,09003492100,mild
123,09003492200,mild
124,09003492300,mild
125,09003492400,mild
126,09003492500,mild
127,09003492600,less
128,09003494100,mild
129,09003494201,mild
130,09003494202,less
131,09003494300,mild
132,09003494400,mild
133,09003494500,mild
134,09003494600,mild
135,09003496100,mild
136,09003496200,mild
137,09003496300,mild
138,09003496400,mild
139,09003496500,less
140,09003496600,less
141,09003496700,mild
142,09003496800,mild
143,09003496900,mild
144,09003497000,mild
145,09003497100,mild
146,09003497200,mild
147,09003497300,mild
148,09003497400,less
149,09003497500,less
150,09003497600,less
151,09003497700,less
152,09003500100,most
153,09003500200,most
154,09003500300,most
155,09003500400,most
156,09003500500,most
157,09003500900,most
158,09003501200,most
159,09003501300,most
160,09003501400,most
161,09003501500,most
162,09003501700,most
163,09003501800,most
164,09003502100,most
165,09003502300,mild
166,09003502400,most
167,09003502500,most
168,09003502600,most
169,09003502700,most
170,09003502800,most
171,09003502900,most
172,09003503000,most
173,09003503101,mild
174,09003503102,mild
175,09003503300,most
176,09003503500,mild
177,09003503700,most
178,09003503800,most
179,09003503900,mild
180,09003504000,mild
181,09003504100,most
182,09003504200,most
183,09003504300,most
184,09003504500,most
185,09003504800,mild
186,09003504900,most
187,09003510100,mild
188,09003510200,most
189,09003510300,most
190,09003510400,mild
191,09003510500,most
192,09003510600,mild
193,09003510700,mild
194,09003510800,mild
195,09003510900,mild
196,09003511000,mild
197,09003511100,mild
198,09003511200,mild
199,09003511300,mild
200,09003511400,mild
201,09003514101,mild
202,09003514103,mild
203,09003514104,mild
204,09003514200,mild
205,09003514300,mild
206,09003514400,mild
207,09003514500,mild
208,09003514600,mild
209,09003514700,most
210,09003514800,mild
211,09003514900,mild
212,09003515000,mild
213,09003515101,mild
214,09003515102,mild
215,09003515200,less
216,09003520100,less
217,09003520201,mild
218,09003520202,less
219,09003520301,mild
220,09003520302,mild
221,09003520400,less
222,09003520501,less
223,09003524100,mild
224,09003524200,mild
225,09003524300,mild
226,09003524400,most
227,09003524501,most
228,09003524502,mild
229,09003524600,most
230,09003524700,mild
