,census_tract,cluster_label
0,48157670101,mild
1,48157670102,mild
2,48157670201,mild
3,48157670202,mild
4,48157670300,less
5,48157670400,mild
6,48157670500,mild
7,48157670602,mild
8,48157670603,mild
9,48157670604,less
10,48157670700,mild
11,48157670801,mild
12,48157670802,most
13,48157670803,most
14,48157670804,less
15,48157670902,mild
16,48157670903,less
17,48157670904,mild
18,48157671001,less
19,48157671002,less
20,48157671101,less
21,48157671102,mild
22,48157671200,mild
23,48157671300,most
24,48157671401,mild
25,48157671402,mild
26,48157671501,mild
27,48157671502,less
28,48157671601,less
29,48157671602,mild
30,48157671700,less
31,48157671800,mild
32,48157671900,less
33,48157672002,mild
34,48157672003,less
35,48157672004,less
36,48157672100,less
37,48157672201,mild
38,48157672202,less
39,48157672303,less
40,48157672304,mild
41,48157672305,mild
42,48157672306,mild
43,48157672401,less
44,48157672402,mild
45,48157672500,less
46,48157672602,mild
47,48157672603,mild
48,48157672604,mild
49,48157672701,mild
50,48157672702,mild
51,48157672703,mild
52,48157672801,less
53,48157672802,mild
54,48157672901,mild
55,48157672902,less
56,48157672903,mild
57,48157672904,less
58,48157672905,less
59,48157672906,less
60,48157672907,mild
61,48157673004,less
62,48157673005,less
63,48157673006,mild
64,48157673007,less
65,48157673008,less
66,48157673009,less
67,48157673010,less
68,48157673103,mild
69,48157673104,less
70,48157673105,less
71,48157673106,less
72,48157673107,mild
73,48157673108,less
74,48157673109,mild
75,48157673110,less
76,48157673111,less
77,48157673112,less
78,48157673113,mild
79,48157673201,less
80,48157673202,most
81,48157673300,most
82,48157673401,most
83,48157673402,mild
84,48157673403,less
85,48157673404,less
86,48157673501,less
87,48157673502,less
88,48157673600,less
89,48157673700,most
90,48157673801,less
91,48157673802,less
92,48157673902,less
93,48157673903,less
94,48157673904,less
95,48157674001,mild
96,48157674002,mild
97,48157674100,mild
98,48157674200,mild
99,48157674301,most
100,48157674302,less
101,48157674401,less
102,48157674402,less
103,48157674403,less
104,48157674404,less
105,48157674503,mild
106,48157674504,mild
107,48157674505,mild
108,48157674506,mild
109,48157674507,less
110,48157674508,less
111,48157674601,less
112,48157674602,less
113,48157674603,mild
114,48157674604,mild
115,48157674701,less
116,48157674702,less
117,48157674800,mild
118,48157674900,mild
119,48157675000,most
120,48157675101,mild
121,48157675102,most
122,48157675200,most
123,48157675300,mild
124,48157675401,most
125,48157675402,mild
126,48157675501,less
127,48157675502,less
128,48157675503,less
129,48157675600,mild
130,48157675701,mild
131,48157675702,less
132,48157675800,most
133,48201100001,mild
134,48201210400,mild
135,48201210500,mild
136,48201210600,less
137,48201210700,mild
138,48201210800,most
139,48201210900,most
140,48201211000,most
141,48201211101,most
142,48201211102,most
