,census_tract,cluster_label
0,12031000101,most
1,12031000102,mild
2,12031000200,most
3,12031000300,most
4,12031000600,mild
5,12031000700,less
6,12031000800,mild
7,12031001000,most
8,12031001100,most
9,12031001200,most
10,12031001300,most
11,12031001401,most
12,12031001402,most
13,12031001500,most
14,12031001600,mild
15,12031002101,mild
16,12031002102,less
17,12031002200,less
18,12031002300,mild
19,12031002400,mild
20,12031002501,mild
21,12031002502,mild
22,12031002600,most
23,12031002701,most
24,12031002702,mild
25,12031002801,most
26,12031002802,mild
27,12031002901,most
28,12031002902,most
29,12031010101,mild
30,12031010104,mild
31,12031010105,less
32,12031010106,mild
33,12031010107,most
34,12031010202,mild
35,12031010203,mild
36,12031010204,mild
37,12031010301,mild
38,12031010305,mild
39,12031010306,less
40,12031010307,most
41,12031010308,mild
42,12031010401,mild
43,12031010402,mild
44,12031010501,mild
45,12031010502,mild
46,12031010503,mild
47,12031010601,mild
48,12031010602,mild
49,12031010700,mild
50,12031010800,mild
51,12031010900,mild
52,12031011000,most
53,12031011100,mild
54,12031011200,mild
55,12031011300,most
56,12031011400,most
57,12031011500,mild
58,12031011600,most
59,12031011700,mild
60,12031011800,most
61,12031011901,mild
62,12031011903,mild
63,12031011904,mild
64,12031011905,mild
65,12031012000,mild
66,12031012100,mild
67,12031012201,mild
68,12031012202,mild
69,12031012300,most
70,12031012400,mild
71,12031012500,mild
72,12031012601,mild
73,12031012602,mild
74,12031012702,most
75,12031012703,mild
76,12031012704,mild
77,12031012800,mild
78,12031012900,mild
79,12031013000,less
80,12031013100,mild
81,12031013200,mild
82,12031013301,mild
83,12031013302,mild
84,12031013402,mild
85,12031013403,mild
86,12031013404,most
87,12031013502,mild
88,12031013504,mild
89,12031013522,mild
90,12031013523,mild
91,12031013524,mild
92,12031013525,mild
93,12031013526,mild
94,12031013723,mild
95,12031013728,mild
96,12031013729,mild
97,12031013730,mild
98,12031013731,mild
99,12031013732,most
100,12031013733,less
101,12031013800,mild
102,12031013901,mild
103,12031013902,mild
104,12031013904,mild
105,12031013905,less
106,12031013906,less
107,12031014001,less
108,12031014002,less
109,12031014101,less
110,12031014103,mild
111,12031014104,less
112,12031014203,less
113,12031014204,less
114,12031014205,less
115,12031014206,less
116,12031014311,mild
117,12031014312,mild
118,12031014328,mild
119,12031014329,mild
120,12031014330,less
121,12031014331,mild
122,12031014333,mild
123,12031014334,mild
124,12031014335,mild
125,12031014336,mild
126,12031014338,mild
127,12031014339,less
128,12031014340,mild
129,12031014341,less
130,12031014342,mild
131,12031014343,mild
132,12031014344,mild
133,12031014408,less
134,12031014413,less
135,12031014414,mild
136,12031014415,mild
137,12031014416,mild
138,12031014417,mild
139,12031014418,less
140,12031014419,less
141,12031014420,mild
142,12031014421,mild
143,12031014422,less
144,12031014423,mild
145,12031014424,mild
146,12031014425,mild
147,12031014426,less
148,12031014427,mild
149,12031014428,mild
150,12031014500,most
151,12031014601,mild
152,12031014603,mild
153,12031014604,mild
154,12031014702,mild
155,12031014703,less
156,12031014704,mild
157,12031014800,mild
158,12031014901,mild
159,12031014902,mild
160,12031015001,mild
161,12031015002,mild
162,12031015100,mild
163,12031015200,mild
164,12031015300,mild
165,12031015400,mild
166,12031015501,mild
167,12031015502,most
168,12031015600,mild
169,12031015701,mild
170,12031015702,mild
171,12031015803,mild
172,12031015804,mild
173,12031015805,mild
174,12031015806,mild
175,12031015922,mild
176,12031015924,mild
177,12031015925,mild
178,12031015926,mild
179,12031015927,mild
180,12031015928,mild
181,12031015929,mild
182,12031016001,most
183,12031016002,most
184,12031016101,mild
185,12031016102,mild
186,12031016200,most
187,12031016300,most
188,12031016400,mild
189,12031016500,less
190,12031016603,less
191,12031016604,mild
192,12031016605,most
193,12031016606,most
194,12031016711,less
195,12031016724,mild
196,12031016725,most
197,12031016726,mild
198,12031016727,most
199,12031016728,mild
200,12031016729,mild
201,12031016730,mild
202,12031016731,most
203,12031016801,less
204,12031016803,less
205,12031016804,mild
206,12031016807,mild
207,12031016808,mild
208,12031016809,mild
209,12031016810,less
210,12031016811,mild
211,12031016812,mild
212,12031016813,mild
213,12031017101,mild
214,12031017102,most
215,12031017200,mild
216,12031017300,mild
217,12031017400,most
