,census_tract,cluster_label
0,29037060001,mild
1,29037060003,mild
2,29037060004,mild
3,29037060100,mild
4,29037060202,mild
5,29037060305,less
6,29037060306,less
7,29037060307,mild
8,29037060308,mild
9,29037060309,mild
10,29037060401,less
11,29037060402,less
12,29037060500,less
13,29037060601,less
14,29037060602,mild
15,29037060700,mild
16,29037060800,mild
17,29037060904,mild
18,29037061001,mild
19,29037061002,mild
20,29037061100,mild
21,29037061200,mild
22,29037061300,mild
23,29037061400,mild
24,29047020201,mild
25,29047020202,less
26,29047020300,most
27,29047020400,mild
28,29047020500,most
29,29047020602,mild
30,29047020603,mild
31,29047020604,mild
32,29047020802,mild
33,29047020803,mild
34,29047020901,mild
35,29047020902,mild
36,29047021001,most
37,29047021003,less
38,29047021004,mild
39,29047021101,most
40,29047021103,mild
41,29047021104,mild
42,29047021105,mild
43,29047021204,mild
44,29047021208,mild
45,29047021209,most
46,29047021210,less
47,29047021211,mild
48,29047021212,less
49,29047021213,mild
50,29047021214,mild
51,29047021303,less
52,29047021307,mild
53,29047021309,less
54,29047021311,mild
55,29047021312,mild
56,29047021313,less
57,29047021314,less
58,29047021401,mild
59,29047021403,mild
60,29047021404,less
61,29047021601,mild
62,29047021602,less
63,29047021701,mild
64,29047021703,mild
65,29047021704,mild
66,29047021806,mild
67,29047021807,mild
68,29047021808,less
69,29047021809,less
70,29047021810,less
71,29047021811,mild
72,29047021812,mild
73,29047021900,less
74,29047022000,mild
75,29047022100,mild
76,29047022200,mild
77,29047022301,mild
78,29047022302,mild
79,29095000300,mild
80,29095000600,most
81,29095000700,most
82,29095000800,mild
83,29095000900,most
84,29095001000,most
85,29095001100,most
86,29095001800,most
87,29095001900,mild
88,29095002000,most
89,29095002100,most
90,29095002200,most
91,29095002300,most
92,29095003400,most
93,29095003700,most
94,29095003800,most
95,29095004300,mild
96,29095004400,less
97,29095004600,mild
98,29095005100,less
99,29095005200,mild
100,29095005300,most
101,29095005400,mild
102,29095005500,most
103,29095005601,mild
104,29095005602,most
105,29095005700,most
106,29095005801,most
107,29095006000,most
108,29095006100,mild
109,29095006300,most
110,29095006500,mild
111,29095006600,mild
112,29095006700,mild
113,29095006900,mild
114,29095007100,mild
115,29095007200,less
116,29095007301,less
117,29095007302,less
118,29095007400,mild
119,29095007500,mild
120,29095007600,most
121,29095007700,most
122,29095007802,most
123,29095007900,mild
124,29095008000,most
125,29095008100,mild
126,29095008200,mild
127,29095008300,less
128,29095008400,less
129,29095008500,less
130,29095008600,mild
131,29095008700,most
132,29095008800,most
133,29095008900,most
134,29095009000,most
135,29095009100,less
136,29095009200,less
137,29095009300,mild
138,29095009400,most
139,29095009500,most
140,29095009600,most
141,29095009700,most
142,29095009800,less
143,29095009900,mild
144,29095010001,mild
145,29095010002,mild
146,29095010103,most
147,29095010105,less
148,29095010201,mild
149,29095010203,mild
150,29095010204,most
151,29095010500,most
152,29095010600,most
153,29095010702,most
154,29095011001,most
155,29095011002,most
156,29095011100,most
157,29095011200,most
158,29095011300,most
159,29095011405,mild
160,29095011406,less
161,29095011407,less
162,29095011408,most
163,29095011409,mild
164,29095011410,mild
165,29095011501,mild
166,29095011502,mild
167,29095011601,mild
168,29095011602,mild
169,29095011701,most
170,29095011702,most
171,29095011800,mild
172,29095011900,most
173,29095012000,most
174,29095012100,most
175,29095012200,most
176,29095012300,mild
177,29095012400,mild
178,29095012501,mild
179,29095012502,mild
180,29095012600,mild
181,29095012702,less
182,29095012703,less
183,29095012802,mild
184,29095012803,mild
185,29095012804,mild
186,29095012903,mild
187,29095012904,less
188,29095012906,most
189,29095013003,mild
190,29095013100,most
191,29095013203,most
192,29095013208,most
193,29095013210,most
194,29095013301,mild
195,29095013307,mild
196,29095013309,mild
197,29095013313,mild
198,29095013401,most
199,29095013405,most
