,census_tract,cluster_label
0,32003000101,mild
1,32003000103,most
2,32003000105,most
3,32003000106,most
4,32003000107,mild
5,32003000108,mild
6,32003000109,most
7,32003000201,most
8,32003000203,most
9,32003000204,most
10,32003000301,mild
11,32003000302,most
12,32003000401,most
13,32003000402,most
14,32003000403,mild
15,32003000510,most
16,32003000513,most
17,32003000514,mild
18,32003000515,mild
19,32003000516,most
20,32003000517,most
21,32003000518,most
22,32003000519,most
23,32003000520,most
24,32003000521,most
25,32003000522,most
26,32003000523,most
27,32003000524,most
28,32003000525,most
29,32003000526,mild
30,32003000527,most
31,32003000528,most
32,32003000600,most
33,32003000700,most
34,32003001003,mild
35,32003001004,mild
36,32003001005,less
37,32003001006,less
38,32003001100,most
39,32003001200,most
40,32003001300,mild
41,32003001401,mild
42,32003001402,mild
43,32003001501,most
44,32003001502,mild
45,32003001607,most
46,32003001608,mild
47,32003001609,mild
48,32003001610,most
49,32003001611,mild
50,32003001613,mild
51,32003001614,most
52,32003001615,most
53,32003001706,mild
54,32003001707,mild
55,32003001708,most
56,32003001709,mild
57,32003001710,mild
58,32003001711,mild
59,32003001712,mild
60,32003001713,mild
61,32003001714,mild
62,32003001715,most
63,32003001716,most
64,32003001717,mild
65,32003001718,most
66,32003001801,most
67,32003001803,mild
68,32003001804,mild
69,32003001901,most
70,32003001902,most
71,32003002000,most
72,32003002201,most
73,32003002203,most
74,32003002204,most
75,32003002206,most
76,32003002207,most
77,32003002302,most
78,32003002303,less
79,32003002403,most
80,32003002404,most
81,32003002405,most
82,32003002406,most
83,32003002501,mild
84,32003002504,mild
85,32003002505,most
86,32003002506,most
87,32003002603,most
88,32003002604,most
89,32003002605,most
90,32003002706,most
91,32003002707,mild
92,32003002708,most
93,32003002808,less
94,32003002810,mild
95,32003002811,mild
96,32003002814,mild
97,32003002821,mild
98,32003002822,most
99,32003002823,mild
100,32003002824,mild
101,32003002825,most
102,32003002826,mild
103,32003002827,mild
104,32003002828,less
105,32003002829,mild
106,32003002830,mild
107,32003002831,mild
108,32003002833,mild
109,32003002834,mild
110,32003002835,mild
111,32003002836,mild
112,32003002837,mild
113,32003002838,mild
114,32003002841,less
115,32003002842,mild
116,32003002844,mild
117,32003002845,mild
118,32003002846,mild
119,32003002847,most
120,32003002848,mild
121,32003002849,mild
122,32003002850,mild
123,32003002851,mild
124,32003002852,less
125,32003002853,most
126,32003002901,mild
127,32003002902,mild
128,32003002905,mild
129,32003002915,mild
130,32003002916,less
131,32003002919,mild
132,32003002935,mild
133,32003002936,mild
134,32003002937,mild
135,32003002938,most
136,32003002939,less
137,32003002940,mild
138,32003002941,most
139,32003002942,mild
140,32003002944,mild
141,32003002946,mild
142,32003002947,mild
143,32003002948,mild
144,32003002949,mild
145,32003002950,mild
146,32003002952,most
147,32003002953,mild
148,32003002954,most
149,32003002956,mild
150,32003002957,mild
151,32003002958,mild
152,32003002961,mild
153,32003002962,most
154,32003002964,most
155,32003002965,most
156,32003002966,most
157,32003002967,most
158,32003002968,mild
159,32003002969,mild
160,32003002970,most
161,32003002974,most
162,32003002975,mild
163,32003002976,mild
164,32003002977,less
165,32003002978,less
166,32003002979,mild
167,32003002980,mild
168,32003002981,mild
169,32003002982,mild
170,32003002983,mild
171,32003002985,mild
172,32003002995,most
173,32003002996,most
174,32003002997,mild
175,32003002998,mild
176,32003003001,mild
177,32003003003,mild
178,32003003004,mild
179,32003003005,mild
180,32003003006,mild
181,32003003102,mild
182,32003003103,mild
183,32003003104,most
184,32003003204,mild
185,32003003208,mild
186,32003003210,mild
187,32003003211,mild
188,32003003213,mild
189,32003003214,mild
190,32003003215,less
191,32003003218,mild
192,32003003219,mild
193,32003003220,mild
194,32003003222,mild
195,32003003223,less
196,32003003226,less
197,32003003227,mild
198,32003003228,mild
199,32003003229,mild
200,32003003233,mild
201,32003003234,mild
202,32003003235,less
203,32003003236,mild
204,32003003237,mild
205,32003003239,mild
206,32003003240,mild
207,32003003241,mild
208,32003003242,less
209,32003003243,mild
210,32003003244,mild
211,32003003245,mild
212,32003003246,mild
213,32003003247,mild
214,32003003248,mild
215,32003003249,less
216,32003003250,mild
217,32003003251,less
218,32003003252,mild
219,32003003253,mild
220,32003003254,mild
221,32003003260,mild
222,32003003261,mild
223,32003003262,mild
224,32003003263,mild
225,32003003264,mild
226,32003003265,mild
227,32003003266,mild
228,32003003267,less
229,32003003268,less
230,32003003269,mild
231,32003003270,mild
232,32003003303,most
233,32003003305,less
234,32003003306,less
235,32003003307,mild
236,32003003308,mild
237,32003003309,mild
238,32003003311,mild
239,32003003312,less
240,32003003313,mild
241,32003003314,less
242,32003003315,mild
243,32003003316,mild
244,32003003317,mild
245,32003003318,mild
246,32003003319,mild
247,32003003320,mild
248,32003003321,less
249,32003003322,less
250,32003003323,mild
251,32003003408,mild
252,32003003409,mild
253,32003003410,mild
254,32003003411,mild
255,32003003412,mild
