,census_tract,cluster_label
0,47157000100,mild
1,47157000200,most
2,47157000300,most
3,47157000400,most
4,47157000600,most
5,47157000700,most
6,47157000800,most
7,47157000900,most
8,47157001100,most
9,47157001200,most
10,47157001300,most
11,47157001400,most
12,47157001500,most
13,47157001600,less
14,47157001700,mild
15,47157001900,most
16,47157002000,most
17,47157002100,most
18,47157002400,most
19,47157002500,most
20,47157002600,less
21,47157002700,mild
22,47157002800,most
23,47157002900,less
24,47157003000,most
25,47157003100,less
26,47157003200,mild
27,47157003300,less
28,47157003400,mild
29,47157003500,less
30,47157003600,mild
31,47157003700,mild
32,47157003800,mild
33,47157003900,mild
34,47157004200,mild
35,47157004300,less
36,47157004500,most
37,47157004600,less
38,47157005000,most
39,47157005300,most
40,47157005500,most
41,47157005600,most
42,47157005700,most
43,47157005800,most
44,47157005900,most
45,47157006000,most
46,47157006200,most
47,47157006300,mild
48,47157006400,mild
49,47157006500,most
50,47157006600,mild
51,47157006700,most
52,47157006800,most
53,47157006900,most
54,47157007000,mild
55,47157007100,less
56,47157007200,mild
57,47157007300,less
58,47157007400,mild
59,47157007500,most
60,47157007810,mild
61,47157007821,most
62,47157007822,most
63,47157007900,most
64,47157008000,most
65,47157008110,mild
66,47157008120,most
67,47157008200,most
68,47157008500,less
69,47157008600,mild
70,47157008700,less
71,47157008800,most
72,47157008900,most
73,47157009100,most
74,47157009201,less
75,47157009202,mild
76,47157009300,less
77,47157009400,mild
78,47157009501,mild
79,47157009502,less
80,47157009600,less
81,47157009700,mild
82,47157009800,mild
83,47157009901,most
84,47157009902,most
85,47157010001,most
86,47157010002,most
87,47157010120,most
88,47157010121,most
89,47157010122,most
90,47157010210,most
91,47157010220,mild
92,47157010300,most
93,47157010500,most
94,47157010610,mild
95,47157010620,mild
96,47157010630,most
97,47157010710,most
98,47157010720,mild
99,47157010810,most
100,47157010820,mild
101,47157011010,most
102,47157011020,most
103,47157011100,mild
104,47157011200,most
105,47157011300,most
106,47157011401,most
107,47157011402,most
108,47157011500,most
109,47157011600,most
110,47157011700,most
111,47157011800,mild
112,47157020101,most
113,47157020102,mild
114,47157020210,mild
115,47157020221,less
116,47157020222,most
117,47157020301,mild
118,47157020302,most
119,47157020400,less
120,47157020511,mild
121,47157020521,most
122,47157020523,most
123,47157020524,mild
124,47157020531,most
125,47157020532,less
126,47157020541,mild
127,47157020542,mild
128,47157020543,most
129,47157020544,most
130,47157020610,mild
131,47157020621,mild
132,47157020622,less
133,47157020632,less
134,47157020633,less
135,47157020634,less
136,47157020635,mild
137,47157020651,less
138,47157020652,less
139,47157020653,less
140,47157020654,less
141,47157020655,less
142,47157020656,less
143,47157020657,mild
144,47157020658,less
145,47157020700,less
146,47157020833,less
147,47157020834,less
148,47157020835,less
149,47157020836,less
150,47157020837,less
151,47157020901,less
152,47157020902,mild
153,47157021020,less
154,47157021021,less
155,47157021022,mild
156,47157021023,less
157,47157021111,mild
158,47157021112,mild
159,47157021113,mild
160,47157021121,less
161,47157021122,mild
162,47157021124,less
163,47157021125,mild
164,47157021126,less
165,47157021135,mild
166,47157021136,less
167,47157021138,less
168,47157021139,less
169,47157021140,mild
170,47157021141,less
171,47157021142,less
172,47157021143,less
173,47157021144,mild
174,47157021311,less
175,47157021312,mild
176,47157021320,mild
177,47157021331,less
178,47157021333,less
179,47157021334,mild
180,47157021341,less
181,47157021351,less
182,47157021352,less
183,47157021354,mild
184,47157021355,less
185,47157021356,less
186,47157021357,less
187,47157021410,less
188,47157021420,less
189,47157021430,less
190,47157021530,less
191,47157021541,less
192,47157021542,less
193,47157021543,less
194,47157021544,less
195,47157021545,less
196,47157021546,less
197,47157021547,less
198,47157021548,less
199,47157021611,mild
200,47157021612,less
201,47157021613,less
202,47157021620,less
203,47157021710,mild
204,47157021721,mild
205,47157021724,mild
206,47157021725,mild
207,47157021731,most
208,47157021744,less
209,47157021745,mild
210,47157021746,less
211,47157021747,most
212,47157021751,less
213,47157021752,mild
214,47157021753,less
215,47157021754,mild
216,47157021755,most
217,47157021756,most
218,47157021757,mild
219,47157021758,most
220,47157021759,most
221,47157021760,less
222,47157021900,mild
223,47157022023,most
224,47157022024,mild
225,47157022025,most
226,47157022026,most
227,47157022111,most
228,47157022121,mild
229,47157022122,mild
230,47157022130,most
231,47157022131,most
232,47157022132,mild
233,47157022210,most
234,47157022220,most
235,47157022310,mild
236,47157022321,most
237,47157022322,most
238,47157022330,mild
239,47157022410,most
240,47157022500,most
241,47157022600,mild
242,47157022700,mild
