,census_tract,cluster_label
0,55079000101,mild
1,55079000102,mild
2,55079000201,most
3,55079000202,mild
4,55079000301,less
5,55079000302,most
6,55079000303,mild
7,55079000304,less
8,55079000400,mild
9,55079000501,most
10,55079000502,most
11,55079000600,most
12,55079000700,mild
13,55079000800,mild
14,55079000900,mild
15,55079001000,most
16,55079001100,mild
17,55079001200,most
18,55079001300,most
19,55079001400,most
20,55079001500,most
21,55079001600,most
22,55079001700,mild
23,55079001800,most
24,55079001900,mild
25,55079002000,most
26,55079002100,most
27,55079002200,most
28,55079002300,mild
29,55079002400,most
30,55079002500,most
31,55079002600,most
32,55079002700,most
33,55079002800,most
34,55079002900,most
35,55079003000,most
36,55079003100,most
37,55079003200,mild
38,55079003300,most
39,55079003400,mild
40,55079003500,mild
41,55079003600,mild
42,55079003700,mild
43,55079003800,mild
44,55079003900,mild
45,55079004000,mild
46,55079004100,most
47,55079004200,most
48,55079004300,mild
49,55079004400,mild
50,55079004500,most
51,55079004600,most
52,55079004700,mild
53,55079004800,most
54,55079004900,mild
55,55079005000,mild
56,55079005100,mild
57,55079005200,mild
58,55079005300,mild
59,55079005400,most
60,55079005500,less
61,55079005600,less
62,55079005700,mild
63,55079005800,less
64,55079005900,mild
65,55079006000,most
66,55079006100,most
67,55079006200,most
68,55079006300,most
69,55079006400,most
70,55079006500,most
71,55079006600,most
72,55079006700,most
73,55079006800,most
74,55079006900,most
75,55079007000,most
76,55079007100,mild
77,55079007200,less
78,55079007300,mild
79,55079007400,less
80,55079007500,mild
81,55079007600,mild
82,55079007700,mild
83,55079007800,mild
84,55079007900,less
85,55079008000,mild
86,55079008100,most
87,55079008400,most
88,55079008500,most
89,55079008600,most
90,55079008700,most
91,55079008800,most
92,55079008900,most
93,55079009000,most
94,55079009100,most
95,55079009200,mild
96,55079009300,mild
97,55079009400,less
98,55079009500,less
99,55079009600,most
100,55079009700,most
101,55079009800,most
102,55079009900,most
103,55079010600,mild
104,55079010700,mild
105,55079010800,mild
106,55079011000,mild
107,55079011100,mild
108,55079011200,mild
109,55079011300,mild
110,55079011400,mild
111,55079012200,most
112,55079012300,most
113,55079012400,less
114,55079012500,less
115,55079012600,mild
116,55079012700,less
117,55079012800,mild
118,55079012900,mild
119,55079013000,mild
120,55079013300,mild
121,55079013400,most
122,55079013500,most
123,55079013600,most
124,55079013700,most
125,55079014100,mild
126,55079014300,mild
127,55079014400,mild
128,55079014600,most
129,55079014700,most
130,55079014800,most
131,55079014900,most
132,55079015700,most
133,55079015800,most
134,55079015900,mild
135,55079016000,most
136,55079016100,most
137,55079016200,most
138,55079016300,most
139,55079016400,most
140,55079016500,most
141,55079016600,most
142,55079016700,most
143,55079016800,most
144,55079016900,most
145,55079017000,mild
146,55079017100,mild
147,55079017200,mild
148,55079017300,mild
149,55079017400,most
150,55079017500,most
151,55079017600,most
152,55079017900,mild
153,55079018000,mild
154,55079018100,less
155,55079018200,less
156,55079018300,less
157,55079018400,less
158,55079018500,mild
159,55079018600,most
160,55079018700,most
161,55079018800,mild
162,55079018900,mild
163,55079019000,mild
164,55079019100,mild
165,55079019200,mild
166,55079019300,less
167,55079019400,mild
168,55079019500,mild
169,55079019600,less
170,55079019700,mild
171,55079019800,mild
172,55079019900,mild
173,55079020000,mild
174,55079020100,mild
175,55079020200,mild
176,55079020300,less
177,55079020400,mild
178,55079020500,mild
179,55079020600,less
180,55079020700,less
181,55079020800,less
182,55079020900,less
183,55079021000,less
184,55079021100,mild
185,55079021200,mild
186,55079021300,mild
187,55079021400,mild
188,55079021500,less
189,55079021600,most
190,55079021700,mild
191,55079021800,mild
192,55079030100,less
193,55079035100,less
194,55079035200,less
195,55079040100,less
196,55079050101,less
197,55079050103,mild
198,55079050104,less
199,55079060101,less
200,55079060102,less
201,55079060200,less
202,55079070100,less
203,55079070200,less
204,55079070300,less
205,55079080100,less
206,55079080200,less
207,55079080300,less
208,55079080400,less
209,55079090100,mild
210,55079090200,less
211,55079090300,less
212,55079090600,mild
213,55079090700,less
214,55079090800,less
215,55079090900,less
216,55079091000,less
217,55079091100,less
218,55079091200,less
219,55079091300,less
220,55079091400,less
221,55079100100,mild
222,55079100200,mild
223,55079100300,mild
224,55079100400,mild
225,55079100500,mild
226,55079100600,less
227,55079100700,most
228,55079100800,mild
229,55079100900,mild
230,55079101000,mild
231,55079101100,less
232,55079101200,mild
233,55079101300,less
234,55079101400,mild
235,55079101500,mild
236,55079101600,less
237,55079101700,mild
238,55079101800,less
239,55079110100,mild
240,55079120101,less
241,55079120102,less
242,55079120201,mild
243,55079120202,mild
244,55079120203,less
245,55079120300,mild
246,55079120400,less
247,55079120501,less
248,55079120502,less
249,55079130100,less
250,55079130200,less
251,55079140100,less
252,55079140201,less
253,55079140202,less
254,55079150100,less
255,55079150301,less
256,55079150303,less
257,55079150304,less
258,55079160101,less
259,55079160102,less
260,55079160202,less
261,55079160203,less
262,55079160205,mild
263,55079160206,mild
264,55079160301,less
265,55079160302,mild
266,55079170100,less
267,55079170200,mild
268,55079170300,less
269,55079170400,less
270,55079170500,mild
271,55079170600,mild
272,55079170700,mild
273,55079180100,less
274,55079180200,mild
275,55079180300,mild
276,55079180400,less
277,55079180500,mild
278,55079185100,less
279,55079185200,less
280,55079185300,mild
281,55079185400,most
282,55079185500,most
283,55079185600,mild
284,55079185700,most
285,55079185800,most
286,55079185900,mild
287,55079186000,mild
288,55079186100,most
289,55079186200,most
290,55079186300,mild
291,55079186400,mild
292,55079186500,most
293,55079186600,most
294,55079186800,most
295,55079186900,less
296,55079187000,mild
297,55079187200,less
298,55079187300,less
299,55079187400,mild
