,census_tract,cluster_label
0,22071000100,less
1,22071000200,mild
2,22071000300,mild
3,22071000400,mild
4,22071000601,mild
5,22071000602,mild
6,22071000603,mild
7,22071000604,most
8,22071000605,mild
9,22071000606,mild
10,22071000607,mild
11,22071000611,mild
12,22071000612,mild
13,22071000615,mild
14,22071000616,mild
15,22071000617,mild
16,22071000618,mild
17,22071000619,mild
18,22071000620,most
19,22071000701,most
20,22071000702,most
21,22071000800,mild
22,22071000901,mild
23,22071000902,most
24,22071000903,mild
25,22071000904,mild
26,22071001100,mild
27,22071001200,mild
28,22071001301,mild
29,22071001302,mild
30,22071001401,mild
31,22071001402,mild
32,22071001500,mild
33,22071001701,mild
34,22071001702,most
35,22071001720,mild
36,22071001723,mild
37,22071001724,mild
38,22071001736,most
39,22071001737,mild
40,22071001739,mild
41,22071001740,mild
42,22071001741,mild
43,22071001743,mild
44,22071001744,mild
45,22071001745,mild
46,22071001746,mild
47,22071001747,mild
48,22071001748,mild
49,22071001749,most
50,22071001750,most
51,22071001751,most
52,22071001752,most
53,22071001753,mild
54,22071001754,mild
55,22071001755,most
56,22071001756,most
57,22071001757,mild
58,22071001758,most
59,22071001800,less
60,22071001900,mild
61,22071002000,mild
62,22071002100,most
63,22071002200,most
64,22071002300,mild
65,22071002401,mild
66,22071002402,mild
67,22071002501,most
68,22071002502,mild
69,22071002503,mild
70,22071002504,mild
71,22071002600,mild
72,22071002700,mild
73,22071002800,mild
74,22071002900,mild
75,22071003000,mild
76,22071003100,most
77,22071003301,less
78,22071003302,mild
79,22071003303,mild
80,22071003304,mild
81,22071003307,mild
82,22071003308,mild
83,22071003400,mild
84,22071003500,mild
85,22071003600,mild
86,22071003701,mild
87,22071003702,mild
88,22071003800,mild
89,22071003900,mild
90,22071004000,mild
91,22071004100,less
92,22071004401,mild
93,22071004402,mild
94,22071004500,mild
95,22071004600,less
96,22071004800,most
97,22071004900,mild
98,22071005000,most
99,22071005400,mild
100,22071005500,mild
101,22071005601,less
102,22071005602,less
103,22071005603,mild
104,22071005604,less
105,22071006000,most
106,22071006300,mild
107,22071006400,mild
108,22071006500,mild
109,22071006900,most
110,22071007000,most
111,22071007101,mild
112,22071007200,most
113,22071007501,mild
114,22071007502,most
115,22071007604,less
116,22071007605,mild
117,22071007607,mild
118,22071007608,mild
119,22071007700,mild
120,22071007800,mild
121,22071008200,mild
122,22071008300,less
123,22071008400,most
124,22071008500,mild
125,22071008600,most
126,22071008800,mild
127,22071009000,less
128,22071009100,mild
129,22071009200,mild
130,22071009400,mild
131,22071009600,mild
132,22071009700,less
133,22071009900,less
134,22071010000,mild
135,22071010100,mild
136,22071010200,most
137,22071010300,most
138,22071010600,mild
139,22071010700,mild
140,22071010800,less
141,22071010900,mild
142,22071011100,most
143,22071011200,mild
144,22071011400,less
145,22071011500,less
146,22071011600,less
147,22071011700,mild
148,22071011900,mild
149,22071012000,less
150,22071012101,mild
151,22071012102,mild
152,22071012200,mild
153,22071012300,mild
154,22071012400,mild
155,22071012500,mild
156,22071012600,mild
157,22071012700,mild
158,22071012800,less
159,22071012900,mild
160,22071013000,mild
161,22071013100,mild
162,22071013200,most
163,22071013301,less
164,22071013302,less
165,22071013400,mild
166,22071013501,mild
167,22071013502,mild
168,22071013600,mild
169,22071013701,mild
170,22071013702,most
171,22071013800,mild
172,22071013900,mild
173,22071014000,most
174,22071014101,mild
175,22071014102,mild
176,22071014200,mild
177,22071014300,most
178,22071014400,less
