,census_tract,cluster_label
0,36005000200,less
1,36005000400,less
2,36005001600,less
3,36005001901,most
4,36005001902,most
5,36005002001,less
6,36005002002,less
7,36005002300,most
8,36005002500,most
9,36005002701,less
10,36005002702,most
11,36005002800,less
12,36005003100,most
13,36005003300,less
14,36005003500,most
15,36005003700,most
16,36005003800,most
17,36005003900,mild
18,36005004001,less
19,36005004100,less
20,36005004200,less
21,36005004300,most
22,36005004400,most
23,36005004600,most
24,36005004800,most
25,36005005001,most
26,36005005002,most
27,36005005100,most
28,36005005200,most
29,36005005300,most
30,36005005400,mild
31,36005005600,most
32,36005005902,most
33,36005006000,most
34,36005006100,less
35,36005006200,most
36,36005006301,most
37,36005006400,mild
38,36005006500,most
39,36005006700,most
40,36005006800,most
41,36005006900,less
42,36005007000,most
43,36005007100,mild
44,36005007200,most
45,36005007300,most
46,36005007400,most
47,36005007500,most
48,36005007600,most
49,36005007700,most
50,36005007800,most
51,36005007900,mild
52,36005008300,most
53,36005008400,less
54,36005008500,most
55,36005008600,less
56,36005008700,most
57,36005008900,most
58,36005009000,less
59,36005009200,most
60,36005009301,most
61,36005009600,most
62,36005009800,less
63,36005011502,most
64,36005011701,most
65,36005011800,less
66,36005011900,most
67,36005012101,most
68,36005012102,most
69,36005012300,most
70,36005012500,most
71,36005012701,most
72,36005012901,most
73,36005013000,less
74,36005013100,most
75,36005013200,less
76,36005013300,less
77,36005013500,less
78,36005013800,less
79,36005014100,most
80,36005014300,mild
81,36005014400,less
82,36005014500,most
83,36005014701,less
84,36005014702,less
85,36005014900,most
86,36005015100,most
87,36005015200,most
88,36005015300,most
89,36005015500,most
90,36005015700,most
91,36005015800,less
92,36005015900,less
93,36005016000,less
94,36005016100,most
95,36005016200,less
96,36005016400,less
97,36005016500,most
98,36005016600,less
99,36005016700,most
100,36005016900,less
101,36005017300,less
102,36005017500,most
103,36005017701,most
104,36005017702,most
105,36005017901,most
106,36005017902,most
107,36005018101,most
108,36005018102,most
109,36005018301,most
110,36005018302,most
111,36005018400,less
112,36005018501,most
113,36005018502,most
114,36005018900,most
115,36005019300,most
116,36005019400,mild
117,36005019500,most
118,36005019700,most
119,36005019900,most
120,36005020000,most
121,36005020100,most
122,36005020200,most
