,census_tract,cluster_label
0,42101000101,less
1,42101000102,less
2,42101000200,less
3,42101000300,less
4,42101000401,less
5,42101000403,less
6,42101000404,less
7,42101000500,mild
8,42101000600,less
9,42101000701,mild
10,42101000702,mild
11,42101000801,less
12,42101000803,less
13,42101000805,less
14,42101000806,less
15,42101000901,mild
16,42101000902,less
17,42101001001,less
18,42101001002,less
19,42101001101,less
20,42101001102,less
21,42101001201,less
22,42101001203,less
23,42101001204,less
24,42101001301,less
25,42101001302,less
26,42101001400,less
27,42101001500,less
28,42101001600,less
29,42101001700,less
30,42101001800,less
31,42101001900,less
32,42101002000,most
33,42101002100,most
34,42101002200,most
35,42101002300,mild
36,42101002400,mild
37,42101002500,mild
38,42101002701,mild
39,42101002702,mild
40,42101002801,mild
41,42101002802,mild
42,42101002900,mild
43,42101003001,mild
44,42101003002,mild
45,42101003100,mild
46,42101003200,mild
47,42101003300,most
48,42101003600,mild
49,42101003701,mild
50,42101003702,mild
51,42101003800,mild
52,42101003901,mild
53,42101003902,mild
54,42101004001,mild
55,42101004002,mild
56,42101004101,mild
57,42101004103,mild
58,42101004104,mild
59,42101004201,mild
60,42101004202,mild
61,42101005400,mild
62,42101005500,mild
63,42101005600,mild
64,42101006000,most
65,42101006100,mild
66,42101006200,mild
67,42101006300,most
68,42101006400,mild
69,42101006500,most
70,42101006600,most
71,42101006700,mild
72,42101007000,mild
73,42101007101,most
74,42101007102,most
75,42101007200,most
76,42101007300,most
77,42101007400,most
78,42101007700,mild
79,42101007800,less
80,42101007900,mild
81,42101008000,most
82,42101008101,most
83,42101008102,most
84,42101008200,most
85,42101008301,most
86,42101008302,most
87,42101008400,mild
88,42101008500,mild
89,42101008601,mild
90,42101008602,mild
91,42101008701,less
92,42101008702,less
93,42101008801,most
94,42101008802,less
95,42101009000,most
96,42101009100,most
97,42101009200,most
98,42101009300,most
99,42101009400,most
100,42101009500,mild
101,42101009600,most
102,42101009801,mild
103,42101009802,mild
104,42101010000,mild
105,42101010100,most
106,42101010200,most
107,42101010300,most
108,42101010400,most
109,42101010500,most
110,42101010600,most
111,42101010700,most
112,42101010800,most
113,42101010900,most
114,42101011000,most
115,42101011100,most
116,42101011200,most
117,42101011300,most
118,42101011400,mild
119,42101011500,mild
120,42101011700,mild
121,42101011800,mild
122,42101011900,mild
123,42101012000,mild
124,42101012100,mild
125,42101012201,mild
126,42101012203,most
127,42101012204,mild
128,42101012501,mild
129,42101012502,less
130,42101013100,mild
131,42101013200,mild
132,42101013300,less
133,42101013401,less
134,42101013402,less
135,42101013500,less
136,42101013601,mild
137,42101013602,mild
138,42101013701,mild
139,42101013702,most
140,42101013800,most
141,42101013900,most
142,42101014000,most
143,42101014100,mild
144,42101014201,less
145,42101014202,less
146,42101014300,mild
147,42101014400,mild
148,42101014500,mild
149,42101014600,mild
150,42101014700,most
151,42101014800,most
152,42101014900,most
153,42101015101,most
154,42101015102,most
155,42101015200,most
156,42101015300,most
157,42101015600,most
158,42101015700,mild
159,42101015800,mild
160,42101016001,mild
161,42101016002,mild
162,42101016100,mild
163,42101016200,most
164,42101016300,most
165,42101016400,most
166,42101016500,most
167,42101016600,most
168,42101016701,most
169,42101016702,most
170,42101016800,most
171,42101016901,most
172,42101016902,most
173,42101017000,mild
174,42101017100,most
175,42101017201,most
176,42101017202,most
177,42101017300,most
178,42101017400,most
179,42101017500,most
180,42101017601,mild
181,42101017602,mild
182,42101017701,most
183,42101017702,most
184,42101017800,most
185,42101017900,most
186,42101018001,mild
187,42101018002,mild
188,42101018300,mild
189,42101018400,mild
190,42101018801,most
191,42101018802,mild
192,42101019000,mild
193,42101019100,mild
194,42101019200,most
195,42101019501,mild
196,42101019502,mild
197,42101019700,mild
198,42101019800,most
199,42101019900,most
200,42101020000,most
201,42101020101,most
202,42101020102,mild
203,42101020200,mild
204,42101020300,most
205,42101020400,most
206,42101020500,most
207,42101020600,mild
208,42101020701,mild
209,42101020702,mild
210,42101020800,mild
211,42101020900,mild
212,42101021000,mild
213,42101021100,mild
214,42101021200,mild
215,42101021300,mild
216,42101021400,mild
217,42101021500,mild
218,42101021600,mild
219,42101021700,mild
220,42101021800,mild
221,42101021900,mild
222,42101022000,mild
223,42101023100,mild
224,42101023500,mild
225,42101023600,less
226,42101023700,mild
227,42101023800,mild
228,42101023900,mild
229,42101024000,mild
230,42101024100,most
231,42101024200,most
232,42101024300,mild
233,42101024400,most
234,42101024500,most
235,42101024600,most
236,42101024700,most
237,42101024800,mild
238,42101024900,most
239,42101025200,mild
240,42101025300,most
241,42101025400,mild
242,42101025500,mild
243,42101025600,mild
244,42101025700,mild
245,42101025800,mild
246,42101025900,mild
247,42101026000,mild
248,42101026100,mild
249,42101026200,mild
250,42101026301,mild
251,42101026302,mild
252,42101026400,mild
253,42101026500,mild
254,42101026600,mild
255,42101026700,mild
256,42101026800,mild
257,42101026900,mild
258,42101027000,mild
259,42101027100,mild
260,42101027200,mild
261,42101027300,mild
262,42101027401,mild
263,42101027402,mild
264,42101027500,mild
265,42101027600,most
266,42101027700,mild
267,42101027800,most
268,42101027901,most
269,42101027902,mild
270,42101028000,mild
271,42101028100,mild
272,42101028200,mild
273,42101028300,most
274,42101028400,mild
275,42101028500,mild
276,42101028600,mild
277,42101028700,mild
278,42101028800,mild
279,42101028901,mild
280,42101028902,mild
281,42101029000,mild
282,42101029100,mild
283,42101029200,mild
284,42101029300,most
285,42101029400,most
286,42101029800,mild
287,42101029900,most
288,42101030000,most
289,42101030100,mild
290,42101030200,mild
291,42101030501,mild
292,42101030502,mild
293,42101030600,mild
294,42101030700,mild
295,42101030800,mild
296,42101030900,mild
297,42101031000,mild
298,42101031101,mild
299,42101031102,mild
300,42101031200,mild
301,42101031300,mild
302,42101031401,mild
303,42101031402,mild
304,42101031501,mild
305,42101031502,mild
306,42101031600,mild
307,42101031700,mild
308,42101031800,mild
309,42101031900,mild
310,42101032000,mild
311,42101032100,mild
312,42101032300,mild
313,42101032500,mild
314,42101032600,mild
315,42101032900,mild
316,42101033000,mild
317,42101033101,mild
318,42101033102,mild
319,42101033200,mild
320,42101033300,mild
321,42101033400,mild
322,42101033500,mild
323,42101033600,mild
324,42101033701,mild
325,42101033702,mild
326,42101033800,mild
327,42101033900,mild
328,42101034000,mild
329,42101034100,mild
330,42101034200,mild
331,42101034400,mild
332,42101034501,mild
333,42101034502,mild
334,42101034600,mild
335,42101034701,mild
336,42101034702,mild
337,42101034801,mild
338,42101034802,mild
339,42101034803,mild
340,42101034900,mild
341,42101035100,mild
342,42101035200,mild
343,42101035301,mild
344,42101035302,mild
345,42101035500,mild
346,42101035601,mild
347,42101035602,mild
348,42101035701,mild
349,42101035702,mild
350,42101035800,mild
351,42101035900,mild
352,42101036000,mild
353,42101036100,mild
354,42101036201,mild
355,42101036202,mild
356,42101036203,mild
357,42101036301,mild
358,42101036302,mild
359,42101036303,mild
360,42101036400,mild
361,42101036501,mild
362,42101036502,mild
363,42101036600,less
364,42101036700,less
365,42101036902,mild
366,42101037200,mild
367,42101037300,mild
368,42101037500,mild
369,42101037600,mild
370,42101037700,most
371,42101037800,mild
372,42101037900,mild
373,42101038000,most
374,42101038100,mild
375,42101038200,most
376,42101038301,most
377,42101038400,mild
378,42101038500,mild
379,42101038600,less
380,42101038700,less
381,42101038800,mild
382,42101038900,mild
383,42101039001,mild
384,42101039002,mild
385,42101039100,mild
386,42101980100,mild
387,42101980200,mild
