,census_tract,cluster_label
0,04013010102,less
1,04013010103,mild
2,04013010104,mild
3,04013030401,less
4,04013030402,less
5,04013040502,most
6,04013040506,mild
7,04013040507,mild
8,04013040512,mild
9,04013040513,mild
10,04013040514,mild
11,04013040515,most
12,04013040516,mild
13,04013040522,mild
14,04013040523,mild
15,04013040524,mild
16,04013040525,mild
17,04013040526,mild
18,04013040527,mild
19,04013040528,mild
20,04013040529,mild
21,04013040530,less
22,04013040531,mild
23,04013040532,mild
24,04013040533,less
25,04013040534,mild
26,04013040535,mild
27,04013040536,less
28,04013040537,less
29,04013040538,less
30,04013040539,less
31,04013040540,less
32,04013040541,mild
33,04013050603,mild
34,04013050604,most
35,04013050609,mild
36,04013050611,less
37,04013050612,mild
38,04013050613,mild
39,04013050614,less
40,04013050615,less
41,04013050616,mild
42,04013050617,less
43,04013050618,less
44,04013050619,mild
45,04013050620,less
46,04013050621,mild
47,04013050701,mild
48,04013050702,most
49,04013060801,most
50,04013060802,mild
51,04013060901,mild
52,04013060902,less
53,04013060903,mild
54,04013060904,mild
55,04013061010,mild
56,04013061011,mild
57,04013061013,mild
58,04013061014,most
59,04013061015,less
60,04013061018,mild
61,04013061020,less
62,04013061021,less
63,04013061024,most
64,04013061026,less
65,04013061027,mild
66,04013061028,most
67,04013061029,less
68,04013061031,less
69,04013061032,most
70,04013061033,less
71,04013061034,less
72,04013061035,less
73,04013061036,mild
74,04013061037,mild
75,04013061038,mild
76,04013061039,mild
77,04013061040,less
78,04013061041,most
79,04013061042,mild
80,04013061043,mild
81,04013061044,less
82,04013061045,less
83,04013061046,most
84,04013061047,less
85,04013061048,mild
86,04013061049,mild
87,04013061050,mild
88,04013061051,less
89,04013061052,less
90,04013061053,mild
91,04013061054,less
92,04013061055,less
93,04013061056,less
94,04013061057,mild
95,04013061058,less
96,04013061059,most
97,04013061060,less
98,04013061061,most
99,04013061062,less
100,04013061063,less
101,04013061064,less
102,04013061100,less
103,04013061200,most
104,04013061300,most
105,04013061401,most
106,04013061402,most
107,04013071503,mild
108,04013071504,mild
109,04013071505,less
110,04013071506,mild
111,04013071509,less
112,04013071510,less
113,04013071511,most
114,04013071512,less
115,04013071513,mild
116,04013071514,less
117,04013071515,mild
118,04013071516,most
119,04013071517,most
120,04013071600,less
121,04013071701,most
122,04013071702,mild
123,04013071801,mild
124,04013071802,mild
125,04013071903,less
126,04013071906,less
127,04013071909,most
128,04013071910,less
129,04013071911,mild
130,04013071912,mild
131,04013071913,most
132,04013071914,most
133,04013071915,less
134,04013082002,mild
135,04013082007,mild
136,04013082008,mild
137,04013082009,most
138,04013082010,most
139,04013082012,mild
140,04013082016,less
141,04013082017,most
142,04013082018,most
143,04013082019,mild
144,04013082020,less
145,04013082021,less
146,04013082022,most
147,04013082023,less
148,04013082024,most
149,04013082025,mild
150,04013082026,less
151,04013082027,mild
152,04013082028,mild
153,04013082204,mild
154,04013082205,mild
155,04013082206,mild
156,04013082207,mild
157,04013082208,mild
158,04013082209,mild
159,04013082210,mild
160,04013082211,less
161,04013082212,less
162,04013082213,most
163,04013083000,most
164,04013092305,mild
165,04013092306,mild
166,04013092307,most
167,04013092308,less
168,04013092309,less
169,04013092311,most
170,04013092312,most
171,04013092401,most
172,04013092402,most
173,04013092500,less
174,04013092600,most
175,04013092705,most
176,04013092708,most
177,04013092709,less
178,04013092710,less
179,04013092711,less
180,04013092712,less
181,04013092713,mild
182,04013092715,less
183,04013092716,mild
184,04013092717,most
185,04013092718,most
186,04013092719,most
187,04013092720,most
188,04013092721,mild
189,04013092723,most
190,04013092724,mild
191,04013092801,most
192,04013092802,most
193,04013092900,most
194,04013093001,most
195,04013093002,mild
196,04013093101,mild
197,04013093104,most
198,04013093105,most
199,04013093106,mild
200,04013093200,most
201,04013103205,less
202,04013103206,less
203,04013103207,less
204,04013103208,mild
205,04013103209,less
206,04013103210,most
207,04013103211,less
208,04013103212,less
209,04013103214,less
210,04013103215,less
211,04013103216,less
212,04013103217,less
213,04013103219,less
214,04013103220,mild
215,04013103302,less
216,04013103303,most
217,04013103304,most
218,04013103305,mild
219,04013103306,mild
220,04013103400,less
221,04013103501,less
222,04013103502,mild
223,04013103604,most
224,04013103605,mild
225,04013103606,less
226,04013103607,less
227,04013103608,less
228,04013103609,most
229,04013103611,less
230,04013103612,most
231,04013103614,less
232,04013103615,mild
233,04013103701,most
234,04013103702,less
235,04013103900,most
236,04013104000,most
237,04013104100,most
238,04013104202,mild
239,04013104203,mild
240,04013104204,mild
241,04013104205,most
242,04013104206,mild
243,04013104207,most
244,04013104212,less
245,04013104214,mild
246,04013104215,most
247,04013104216,most
248,04013104217,mild
249,04013104218,most
250,04013104219,mild
251,04013104221,mild
252,04013104222,mild
253,04013104223,less
254,04013104224,most
255,04013104225,mild
256,04013104226,most
257,04013104227,most
258,04013104301,less
259,04013104302,most
260,04013104401,most
261,04013104402,most
262,04013104501,most
263,04013104502,mild
264,04013104600,most
265,04013104701,most
266,04013104702,most
267,04013104801,less
268,04013104802,mild
269,04013104900,less
270,04013105002,less
271,04013105003,less
272,04013105004,less
273,04013105101,less
274,04013105102,less
275,04013105103,less
276,04013105200,most
277,04013105300,mild
278,04013105400,less
279,04013105501,most
280,04013105502,most
281,04013105503,most
282,04013105601,less
283,04013105602,most
284,04013105701,mild
285,04013105702,most
286,04013105800,mild
287,04013105900,most
288,04013106001,mild
289,04013106002,most
290,04013106003,most
291,04013106100,most
292,04013106200,less
293,04013106300,most
294,04013106400,less
295,04013106501,mild
296,04013106502,less
297,04013106600,less
298,04013106701,most
299,04013106702,mild
300,04013106703,less
301,04013106801,mild
302,04013106802,mild
303,04013106900,mild
304,04013107001,mild
305,04013107002,mild
306,04013107101,mild
307,04013107102,mild
308,04013107201,mild
309,04013107202,mild
310,04013107300,mild
311,04013107401,less
312,04013107402,most
313,04013107403,mild
314,04013107404,mild
315,04013107500,less
316,04013107601,less
317,04013107602,less
318,04013107700,less
319,04013107800,less
320,04013107900,less
321,04013108000,less
322,04013108100,less
323,04013108200,mild
324,04013108301,less
325,04013108302,less
326,04013108400,most
327,04013108501,less
328,04013108502,mild
329,04013108601,most
330,04013108602,mild
331,04013108802,less
332,04013108901,mild
333,04013108902,less
334,04013109001,mild
335,04013109002,mild
336,04013109003,most
337,04013109101,mild
338,04013109102,mild
339,04013109200,mild
340,04013109300,mild
341,04013109401,mild
342,04013109402,mild
343,04013109500,mild
344,04013109601,mild
345,04013109602,mild
346,04013109603,mild
347,04013109604,mild
348,04013109702,mild
349,04013109703,most
350,04013109704,mild
351,04013109705,mild
352,04013109706,mild
353,04013109707,mild
354,04013109801,mild
355,04013109802,mild
356,04013109900,mild
357,04013110001,mild
358,04013110002,most
359,04013110100,mild
360,04013110400,mild
361,04013110501,less
362,04013110502,less
363,04013110600,mild
364,04013110701,most
365,04013110702,mild
366,04013110801,mild
367,04013110802,most
368,04013110901,less
369,04013110902,mild
370,04013111000,less
371,04013111100,less
372,04013111201,less
