,census_tract,cluster_label
0,06075010101,less
1,06075010102,mild
2,06075010201,less
3,06075010202,mild
4,06075010300,mild
5,06075010401,mild
6,06075010402,less
7,06075010500,mild
8,06075010600,most
9,06075010701,most
10,06075010702,most
11,06075010800,mild
12,06075010901,mild
13,06075010902,less
14,06075011001,mild
15,06075011002,mild
16,06075011101,mild
17,06075011102,mild
18,06075011200,less
19,06075011300,mild
20,06075011700,most
21,06075011800,most
22,06075011901,mild
23,06075011902,mild
24,06075012001,most
25,06075012002,mild
26,06075012100,mild
27,06075012202,most
28,06075012203,mild
29,06075012204,mild
30,06075012301,most
31,06075012302,most
32,06075012403,most
33,06075012404,most
34,06075012405,mild
35,06075012406,most
36,06075012502,most
37,06075012503,most
38,06075012504,most
39,06075012601,less
40,06075012602,less
41,06075012700,less
42,06075012801,less
43,06075012802,less
44,06075012901,mild
45,06075012902,less
46,06075013001,less
47,06075013002,less
48,06075013101,mild
49,06075013102,less
50,06075013200,less
51,06075013300,less
52,06075013401,less
53,06075013402,less
54,06075013500,less
55,06075015100,mild
56,06075015201,mild
57,06075015202,mild
58,06075015300,mild
59,06075015401,less
60,06075015402,less
61,06075015500,mild
62,06075015600,mild
63,06075015701,mild
64,06075015702,mild
65,06075015801,mild
66,06075015802,mild
67,06075015900,mild
68,06075016000,mild
69,06075016101,mild
70,06075016102,mild
71,06075016200,mild
72,06075016300,mild
73,06075016400,mild
74,06075016500,less
75,06075016601,less
76,06075016602,less
77,06075016700,less
78,06075016801,mild
79,06075016802,mild
80,06075016900,mild
81,06075017000,less
82,06075017101,less
83,06075017102,less
84,06075017602,most
85,06075017603,mild
86,06075017604,most
87,06075017700,mild
88,06075017801,mild
89,06075017803,less
90,06075017804,mild
91,06075017903,mild
92,06075018000,mild
93,06075020101,mild
94,06075020102,most
95,06075020201,most
96,06075020202,mild
97,06075020300,mild
98,06075020401,mild
99,06075020402,mild
100,06075020500,less
101,06075020601,less
102,06075020602,less
103,06075020701,mild
104,06075020702,mild
105,06075020801,mild
106,06075020802,mild
107,06075020900,mild
108,06075021000,less
109,06075021100,less
110,06075021200,less
111,06075021300,less
112,06075021400,less
113,06075021500,less
114,06075021600,mild
115,06075021700,mild
116,06075021800,less
117,06075022600,mild
118,06075022702,less
119,06075022704,mild
120,06075022801,mild
121,06075022802,mild
122,06075022803,mild
123,06075022901,mild
124,06075022902,mild
125,06075022903,mild
126,06075023001,mild
127,06075023003,mild
128,06075023102,mild
129,06075023103,mild
130,06075023200,mild
131,06075023300,mild
132,06075023400,mild
133,06075025100,less
134,06075025200,mild
135,06075025300,mild
136,06075025401,mild
137,06075025402,mild
138,06075025403,mild
139,06075025501,mild
140,06075025502,mild
141,06075025600,mild
142,06075025701,mild
143,06075025702,mild
144,06075025800,mild
145,06075025900,mild
146,06075026001,mild
147,06075026002,mild
148,06075026003,mild
149,06075026004,mild
150,06075026100,mild
151,06075026201,mild
152,06075026202,mild
153,06075026301,mild
154,06075026302,mild
155,06075026303,mild
156,06075026401,mild
157,06075026402,mild
158,06075026403,mild
159,06075026404,mild
160,06075030101,mild
161,06075030102,less
162,06075030201,mild
163,06075030202,mild
164,06075030301,less
165,06075030302,less
166,06075030400,less
167,06075030500,mild
168,06075030600,less
169,06075030700,mild
170,06075030800,less
171,06075030900,less
172,06075031000,mild
173,06075031100,mild
174,06075031201,mild
175,06075031202,mild
176,06075031301,mild
177,06075031302,mild
178,06075031401,mild
179,06075031402,mild
180,06075032601,mild
181,06075032602,mild
182,06075032700,mild
183,06075032801,mild
184,06075032802,mild
185,06075032901,mild
186,06075032902,mild
187,06075033001,less
188,06075033002,mild
189,06075033100,mild
190,06075033201,mild
191,06075033203,mild
192,06075033204,mild
193,06075035101,mild
194,06075035102,mild
195,06075035201,mild
196,06075035202,mild
197,06075035300,mild
198,06075035400,mild
199,06075040100,less
200,06075040200,less
201,06075042601,less
202,06075042602,mild
203,06075042700,mild
204,06075042800,less
205,06075045100,mild
206,06075045201,less
207,06075045202,less
208,06075047600,mild
209,06075047701,mild
210,06075047702,less
211,06075047801,less
212,06075047802,less
213,06075047902,mild
214,06075047903,mild
215,06075047904,mild
216,06075060100,mild
217,06075060400,most
218,06075060502,mild
219,06075060701,less
220,06075060702,mild
221,06075060703,mild
222,06075061000,mild
223,06075061101,most
224,06075061102,most
225,06075061200,mild
226,06075061401,mild
227,06075061402,mild
228,06075061501,mild
229,06075061502,mild
230,06075061503,mild
231,06075061504,mild
232,06075061505,mild
233,06075061506,less
234,06075061507,mild
235,06075061508,mild
236,06075980300,mild
237,06075980501,mild
238,06075980600,mild
239,06075980900,mild
