,census_tract,cluster_label
0,29510101100,mild
1,29510101200,less
2,29510101300,less
3,29510101400,mild
4,29510101500,mild
5,29510101800,mild
6,29510102100,less
7,29510102200,less
8,29510102300,mild
9,29510102400,less
10,29510102500,less
11,29510103100,mild
12,29510103400,less
13,29510103600,mild
14,29510103700,less
15,29510103800,less
16,29510104200,less
17,29510104500,less
18,29510105198,mild
19,29510105200,mild
20,29510105300,mild
21,29510105400,mild
22,29510105500,mild
23,29510106100,mild
24,29510106200,most
25,29510106300,most
26,29510106400,most
27,29510106500,most
28,29510106600,mild
29,29510106700,most
30,29510107200,most
31,29510107300,mild
32,29510107400,mild
33,29510107500,most
34,29510107600,mild
35,29510108100,mild
36,29510108200,mild
37,29510108300,mild
38,29510109600,mild
39,29510109700,most
40,29510110100,mild
41,29510110200,most
42,29510110300,most
43,29510110400,most
44,29510110500,most
45,29510111100,mild
46,29510111200,most
47,29510111300,mild
48,29510112100,mild
49,29510112200,mild
50,29510112300,mild
51,29510112400,mild
52,29510113500,less
53,29510114101,less
54,29510114102,mild
55,29510114200,less
56,29510114300,less
57,29510115100,less
58,29510115200,mild
59,29510115300,mild
60,29510115400,mild
61,29510115500,mild
62,29510115600,mild
63,29510115700,mild
64,29510116100,mild
65,29510116200,less
66,29510116301,mild
67,29510116302,mild
68,29510116400,mild
69,29510116500,less
70,29510117100,mild
71,29510117200,less
72,29510117400,mild
73,29510118100,mild
74,29510118600,mild
75,29510119101,mild
76,29510119102,mild
77,29510119200,mild
78,29510119300,mild
79,29510120200,mild
80,29510121200,mild
81,29510123100,less
82,29510123200,less
83,29510123300,mild
84,29510124100,most
85,29510124200,mild
86,29510124300,less
87,29510124600,mild
88,29510125500,mild
89,29510125600,mild
90,29510125700,mild
91,29510126600,mild
92,29510126700,most
93,29510126800,less
94,29510126900,mild
95,29510127000,most
96,29510127100,most
97,29510127200,less
98,29510127300,less
99,29510127400,mild
100,29510127500,mild
101,29510127600,less
102,29510127700,most
103,29510127800,mild
